pond_id,treatment,date,doy,week,period,ch4_flux,co2_flux,n2o_flux,ch4_lake,co2_lake,n2o_lake,GPP,R,NEP,flag,tn,tp,nox,srp,temp,do_sat,do,ph,chla,cond,sp_cond,phyco,salinity,bottom_temp,bottom_do_sat,bottom_do,bottom_ph,bottom_chla,bottom_cond,bottom_sp_cond,bottom_phyco,bottom_salinity,wind_speed,wind_U10,methanogenesis,DEA,sonde_zmix,sonde_strat,ch4_ebu_flux
A,pulsed,2020-06-03,155,2,BASE,4.86022469014757,-7.56008891773866,0.00116392897826114,8.23461904938255,0.711129571882819,0.00838095881309035,1.144218609,-0.872486236,0.271732374,NA,0.19158,23.75,0.08038,3.9,23.92877492948718,127.88205128205128,10.773461538461538,8.54525641025641,2.6637179487179488,270.00128205128203,275.6551282051282,-0.09064102564102565,0.13025641025641027,18.064644609430147,107.67683823529413,10.165183823529413,7.051452205882352,109.21873161764705,429.1016544117647,494.64283088235294,2.897518382352941,0.24033088235294117,0.5972916666666667,0.6808242687007207,NA,NA,1.5,mixed,NA
A,pulsed,2020-06-04,156,2,BASE,NA,NA,NA,NA,NA,NA,1.870316302,-2.056843415,-0.186527113,NA,NA,NA,NA,NA,24.87912912662162,131.33513513513515,10.866891891891893,8.232162162162162,2.893918918918919,290.9662162162162,291.61486486486484,-0.21513513513513513,0.14,18.823464912845395,82.00756578947369,7.6147532894736845,6.821036184210526,88.9570394736842,430.24358552631577,487.76940789473684,1.860921052631579,0.23526315789473684,0.3770833333333333,0.42981929764503124,NA,NA,1.5,mixed,NA
A,pulsed,2020-06-05,157,2,BASE,15.4571742296793,-7.57014506249878,5.8414937458647e-4,25.6215536672416,1.4676011638364,0.0070317978348939,2.889940242,-3.424933578,-0.534993336,NA,0.307475,30.2,0.0336375,3.9,25.664021164603174,120.85,9.858253968253969,8.372063492063493,2.4776190476190476,299.1984126984127,295.4579365079365,-0.26206349206349205,0.14,19.277777777666664,106.88,9.810666666666666,7.145,81.619,437.9866666666667,491.5633333333333,1.0766666666666667,0.239,0.5764583333333333,0.6570773461788958,NA,NA,1.45,stratified,NA
A,pulsed,2020-06-06,158,2,BASE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.539393942545452,120.6290909090909,9.861454545454546,8.505272727272727,1.5765454545454545,306.4709090909091,303.3363636363636,-0.3185454545454546,0.14,19.605587120994315,93.7590909090909,8.544857954545455,7.4203125,102.68338068181819,450.1775568181818,502.50568181818176,1.1567613636363636,0.2431534090909091,0.839375,0.9567635084043264,NA,NA,1.1474027724587659,stratified,NA
A,pulsed,2020-06-07,159,3,BASE,NA,NA,NA,NA,NA,NA,2.637901751,-0.500171131,2.13773062,NA,NA,NA,NA,NA,24.760536399310347,108.9,9.028620689655172,8.762758620689654,1.4327586206896552,304.6844827586207,306.0603448275862,-0.28051724137931033,0.14620689655172414,19.67040598272436,86.40865384615384,7.88900641025641,7.8753205128205135,96.45054487179488,457.4971153846154,509.42467948717945,1.3091666666666666,0.24554487179487178,1.4260416666666667,1.6254768466189164,NA,NA,1.2205724320973905,stratified,NA
A,pulsed,2020-06-08,160,3,BASE,19.7572359710379,-7.58704145975149,-3.5912982449011e-4,31.053110044236,1.88632873851015,0.00532461497249232,3.563429567,-3.204379364,0.359050204,NA,0.30486,28.3,0.160735,3.9,25.18964076819549,108.71203007518797,8.944812030075187,8.691954887218046,1.8142105263157895,302.19172932330827,301.05563909774435,-0.22428571428571428,0.14,18.90509259125,63.94166666666667,5.916666666666666,7.455,193.815,514.8874999999999,582.7791666666667,3.377083333333333,0.28500000000000003,1.0583333333333333,1.2063436641087064,0.00203515396444902,2.0060138650844e-4,1.3439762964219257,stratified,NA
A,pulsed,2020-06-09,161,3,BASE,NA,NA,NA,NA,NA,NA,0.715165266,-3.391266662,-2.676101397,NA,NA,NA,NA,NA,25.07597341076923,97.34102564102564,8.026752136752137,8.641111111111112,1.9845299145299145,304.95213675213677,304.52307692307693,-0.2594871794871795,0.14,20.14444444375,68.9275,6.22425,7.55675,171.93325,486.84749999999997,536.735,4.1395,0.26075000000000004,0.24083333333333334,0.27451442435229617,NA,NA,1.2446155217383306,stratified,NA
A,pulsed,2020-06-10,162,3,BASE,40.641714820399,-1.28315966813559,-0.00221942399658734,49.4021906935692,13.0794280173305,0.00338935295466783,3.345892878,-5.723071924,-2.377179046,NA,0.269645,31.85,0.05775,3.9,23.060657600306122,61.4,5.255918367346939,8.081326530612245,2.2968367346938776,304.00714285714287,315.6275510204082,-0.2464285714285714,0.15,20.66121031723214,19.666964285714286,1.760892857142857,7.140089285714286,211.61669642857143,469.3044642857143,511.6526785714286,6.787142857142857,0.24714285714285714,2.12875,2.426460543280071,NA,NA,1.254967971625951,stratified,NA
A,pulsed,2020-06-11,163,3,BASE,NA,NA,NA,NA,NA,NA,3.322750927,-6.869528738,-3.546777811,NA,NA,NA,NA,NA,22.041203706999998,57.090833333333336,4.982916666666666,8.12,2.08075,307.49,325.86583333333334,-0.21691666666666667,0.15516666666666667,19.8650000015,40.315,3.6567,7.2744,232.946,529.929,588.684,8.218399999999999,0.28600000000000003,0.954375,1.0878465207248,NA,NA,1.45,stratified,NA
A,pulsed,2020-06-12,164,3,BASE,37.8080215708132,-1.33509756149968,-7.3346474660469e-4,73.577588063082,14.4696883689983,0.0058773949249408,4.776319965,-5.94156752,-1.165247555,NA,0.226775,37.65,0.1974,3.9,22.313131313051947,71.63116883116884,6.220389610389611,8.175974025974027,2.3835064935064936,309.674025974026,326.43896103896105,-0.23467532467532468,0.16,20.621527777125003,47.526875000000004,4.23975,7.401,99.34268750000001,470.951875,513.51375,5.156125,0.2491875,0.08333333333333333,0.09498769008729972,NA,NA,1.45,stratified,NA
A,pulsed,2020-06-13,165,3,BASE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.107526882903226,89.01129032258065,7.612903225806452,8.587903225806452,3.184032258064516,305.4274193548387,316.89516129032256,-0.24241935483870966,0.15,19.903594770294117,40.04558823529412,3.6341176470588237,7.653382352941176,143.87,507.0161764705882,561.7279411764706,5.851176470588236,0.2738235294117647,1.00625,1.146976357804144,NA,NA,1.3484161518800941,stratified,NA
A,pulsed,2020-06-14,166,4,BASE,NA,NA,NA,NA,NA,NA,2.802985361,-4.117340579,-1.314355218,NA,NA,NA,NA,NA,22.01234568,77.04629629629629,6.728703703703704,8.263518518518518,2.527037037037037,311.3814814814815,330.24074074074076,-0.2301851851851852,0.16,21.028758170264705,59.86911764705883,5.314470588235294,7.647058823529411,253.44082352941177,432.57705882352946,467.9808823529412,8.216558823529411,0.22647058823529412,2.0247916666666668,2.307963399896165,NA,NA,1.35,stratified,NA
A,pulsed,2020-06-15,167,4,BASE,55.1198108072789,-0.485347286761595,-0.00287063506123651,85.187230021982,15.4435909088309,0.00299087267502419,0.917106156,-3.575651687,-2.658545531,NA,0.25586,42.5,0.180085,4.2,21.576388891249998,76.98571428571428,6.7805357142857146,8.73,3.6435714285714287,311.2232142857143,332.99285714285713,-0.15517857142857142,0.16,21.40783475646154,65.31384615384616,5.767538461538461,8.270307692307693,173.34402564102564,373.7253846153846,401.2323076923077,8.198256410256409,0.19217948717948719,1.5829166666666665,1.804291173208258,NA,NA,1.4,mixed,NA
A,pulsed,2020-06-16,168,4,BASE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.976911975064937,87.74545454545455,7.668181818181818,10.284155844155844,4.178441558441558,305.8935064935065,324.6064935064935,-0.1442857142857143,0.15,21.067934782510868,47.62434782608696,4.230239130434782,9.67720652173913,192.32108695652175,402.2791304347826,435.0755434782609,7.859608695652174,0.20902173913043479,1.153125,1.3143921615830099,0.00614505790215105,1.205205598497e-4,1.35,stratified,NA
A,pulsed,2020-06-17,169,4,BASE,30.4281594716949,-6.38076711914069,-0.00243017256174553,50.3672937646188,4.46053950889032,0.00310872310818346,1.456791085,-3.324446225,-1.86765514,NA,0.42235,NA,0.20842,3.9,22.117676767636365,86.44272727272727,7.536272727272728,9.475909090909092,3.845090909090909,307.49454545454546,325.4827272727273,-0.2409090909090909,0.15518181818181817,21.12411616165909,43.97818181818182,3.9005,8.995568181818182,200.2081818181818,381.8263636363637,412.5006818181818,7.345863636363637,0.19795454545454544,1.0472916666666665,1.1937577951721392,NA,NA,1.35,stratified,NA
A,pulsed,2020-06-18,170,4,BASE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.698830409473683,89.20263157894736,7.687631578947368,8.41,4.090394736842105,307.00921052631577,321.0921052631579,-0.19631578947368422,0.15,21.464814815333334,48.58,4.281666666666666,7.814333333333334,167.301,365.48333333333335,391.98333333333335,7.590666666666666,0.18833333333333335,0.826875,0.9425153548912314,NA,NA,1.35,stratified,NA
A,pulsed,2020-06-19,171,4,BASE,6.22633287417067,-6.2673428671969,-3.9769292577902e-4,11.4361552865157,3.44444531919741,0.00618851937811787,NA,NA,NA,NA,0.212545,40.2,0.03,3.9,23.430711609325844,83.76179775280899,7.119325842696629,8.521011235955056,8.281685393258426,304.7123595505618,314.0988764044944,-0.1102247191011236,0.15,20.588927466527778,31.94965277777778,2.861597222222222,7.9475694444444445,208.0603125,372.778125,407.12638888888887,7.871527777777779,0.19475694444444444,0.36625,0.41747089793368225,NA,NA,1.2470570865798738,stratified,NA
A,pulsed,2020-06-20,172,4,BASE,NA,NA,NA,NA,NA,NA,0.1329295,-3.283182317,-3.150252817,NA,NA,NA,NA,NA,23.620039684464285,73.18035714285715,6.19875,9.196964285714285,18.399107142857144,307.87142857142857,316.225,-0.05732142857142857,0.15,19.965740740833333,24.96,2.2558333333333334,8.805166666666667,166.084,441.82,488.1933333333333,5.8675,0.23583333333333334,0.25145833333333334,0.2866253548384269,NA,NA,1.2713979290408925,stratified,NA
A,pulsed,2020-06-21,173,5,BASE,4.92503128187981,-6.76440010309188,-0.00102007370745078,8.84276606373747,2.04183767330897,0.00503584958176082,NA,NA,NA,NA,NA,NA,NA,NA,23.993177388421053,77.0421052631579,6.477894736842106,9.297368421052632,7.94140350877193,311.2368421052632,317.340350877193,-0.21175438596491228,0.15,19.965428744565216,26.317934782608695,2.388288043478261,8.807391304347826,58.487065217391304,555.3073369565218,614.3673913043478,2.6307608695652176,0.29872282608695655,0.3770833333333333,0.42981929764503124,0.00104765887311285,1.0175373274953e-4,1.6,mixed,NA
A,pulsed,2020-06-22,174,5,BASE,8.5866782862289,-3.29690343123825,-0.00205023687390123,15.2535482294847,9.99359869625761,0.00346819247518793,0.372123946,-1.023155473,-0.651031526,NA,0.13582,37.4,0.131715,3.9,23.720797718717947,59.85128205128205,5.062307692307693,8.609743589743589,6.818717948717949,314.2846153846154,322.2230769230769,-0.24384615384615385,0.15,20.74675925933333,25.925833333333333,2.3166666666666664,8.307083333333335,314.85175,407.515,443.5575,12.088916666666666,0.21466666666666667,0.41874999999999996,0.4773131426886811,NA,NA,1.0510964053592058,stratified,8.666538692
A,pulsed,2020-06-23,175,5,BASE,21.9556105520931,26.2686572223493,-0.0017918083770987,41.0087201085766,63.911199624723,0.00407824723976206,5.372983249,-8.081871974,-2.708888725,NA,0.27924,41.6,0.070822,3.9,21.981981982027026,40.75135135135135,3.5614864864864866,9.066351351351353,5.505945945945946,306.35,325.0918918918919,-0.21202702702702703,0.1545945945945946,20.797758283320803,23.95889724310777,2.1367293233082707,8.955100250626566,216.05309523809524,368.05576441102755,400.79586466165415,8.338809523809523,0.19186716791979952,0.45166666666666666,0.5148332802731646,NA,NA,1.35,stratified,NA
A,pulsed,2020-06-24,176,5,PULSE1,17.5440710028891,11.7945030326472,-0.00174590880200081,33.9433581321463,38.8261302666096,0.0043982060091752,2.4848431,-5.209965123,-2.725122023,NA,0.29057500000000003,48.95,0.244595,5.9,21.78626543111111,43.298611111111114,3.7979166666666666,9.560972222222222,5.829444444444444,304.5805555555556,324.5027777777778,-0.22180555555555556,0.15194444444444444,20.74228395074074,21.102777777777778,1.8835185185185184,9.478240740740741,185.81314814814814,396.7833333333333,432.20092592592596,5.826388888888889,0.20722222222222222,0.24041666666666667,0.27403948590185967,NA,NA,1.35,stratified,NA
A,pulsed,2020-06-25,177,5,PULSE1,9.40865770413871,4.23258293100847,-0.00168400847849008,17.8972247468437,23.0880534316435,0.00404538413699825,2.646536275,-2.64368034,0.002855936,NA,0.424785,42.25,0.03,3.9,22.285046727570094,50.43644859813084,4.381121495327103,11.183644859813084,9.367663551401868,305.69158878504675,322.38878504672897,-0.16953271028037384,0.15,20.96421306938215,25.384553775743708,2.2592906178489702,11.05521739130435,175.2312013729977,363.89061784897024,394.2877574370709,6.464393592677346,0.18901601830663617,0.28291666666666665,0.32248320784638257,NA,NA,1.35,stratified,NA
A,pulsed,2020-06-26,178,5,PULSE1,3.36777063192262,-1.20023618547211,-0.00132277361289732,6.37667390463904,12.4845374557873,0.0047337329322298,0.24771112,-4.614747858,-4.367036738,NA,0.17579,27.95,0.03,3.9,23.502136751923075,40.08076923076923,3.4025,12.508653846153846,14.113076923076923,312.21153846153845,321.4076923076923,-0.08153846153846155,0.15038461538461537,21.31533963188259,19.69514170040486,1.741012145748988,12.494514170040485,123.78902834008097,374.07813765182186,402.4437246963563,4.941336032388664,0.19323886639676113,0.10416666666666667,0.11873461260912464,NA,NA,1.4,mixed,NA
A,pulsed,2020-06-27,179,5,PULSE1,3.16211004271787,4.73875776523282,-0.00147292517244759,5.88986045078714,22.796987281826,0.00414608022425403,2.233272493,-6.375735493,-4.142463,NA,NA,NA,NA,NA,24.226788432054793,31.05068493150685,2.5993150684931505,14.395753424657535,10.500821917808219,323.4109589041096,328.23835616438356,-0.07863013698630138,0.16,20.094047619642858,25.944285714285712,2.3385,14.6695,104.7415,438.06142857142856,482.64785714285716,5.282785714285715,0.23299999999999998,0.10416666666666667,0.11873461260912464,NA,NA,1.4,mixed,NA
A,pulsed,2020-06-28,180,6,PULSE1,3.35107480685517,8.41472213676815,-0.00211358372599609,5.75557506870893,27.9055526796487,0.0032987472487109,NA,NA,NA,NA,NA,NA,NA,NA,24.539215687058824,47.55490196078431,3.959607843137255,13.634117647058824,9.760980392156863,320.5274509803922,323.39019607843136,-0.25392156862745097,0.15019607843137253,19.987037036527777,16.88722222222222,1.531388888888889,14.283583333333333,12.886222222222223,488.1819444444444,539.8922222222222,1.9175277777777777,0.26308333333333334,0.5343749999999999,0.6091085626848094,0.00107762224236494,1.5891624158047e-4,1.3642220194864652,stratified,0.169788678
A,pulsed,2020-06-29,181,6,PULSE1,2.75690177003629,6.50139678469129,-0.00194417204439194,4.85064829850287,24.6229994751117,0.00295604851701169,NA,NA,NA,NA,0.30243,50.65,0.06865,3.9,25.0077777776,33.652,2.7772,16.262,12.709,331.378,331.316,-0.1556,0.16,20.195238094642857,16.580000000000002,1.4957857142857143,16.410714285714285,86.50178571428572,447.74285714285713,493.0757142857143,3.8034999999999997,0.23914285714285716,0.3875,0.4416927589059437,NA,NA,1.172807673716245,stratified,NA
A,pulsed,2020-06-30,182,6,PULSE1,2.43457164455061,9.41145062650676,-0.00212664648713024,4.07949670648224,29.9515060648741,0.00278523267857096,NA,NA,NA,NA,NA,NA,NA,NA,25.34027777875,23.652272727272727,1.94,14.38784090909091,9.215681818181817,335.5443181818182,333.35,-0.1980681818181818,0.16,21.124183006096256,11.214705882352941,0.99427807486631,15.039304812834224,102.78534759358288,411.84385026737965,444.7663101604278,4.182887700534759,0.215,0.701875,0.8000338197602819,NA,NA,1.4,mixed,NA
A,pulsed,2020-07-01,183,6,PULSE1,2.83191548094232,13.3612907554678,-0.00264286744650319,5.11093419062338,37.9536275404852,0.00177190242913897,2.446363206,-7.325547939,-4.879184733,NA,0.42773,47.9,0.03,3.9,24.95925925711111,40.56444444444445,3.352,16.261111111111113,14.843111111111112,330.7733333333333,331.02666666666664,-0.21755555555555556,0.16,21.031045749705882,17.655882352941177,1.5705882352941176,16.38705882352941,77.92784313725491,444.0078431372549,480.4343137254902,2.481862745098039,0.2288235294117647,0.23020833333333335,0.26240349386616546,NA,NA,1.2265749378715154,stratified,NA
A,pulsed,2020-07-02,184,6,PULSE1,5.89602377735642,25.9549395236827,-0.00328265799067466,10.7800951147965,61.7811000135938,7.3612763950065e-4,0.12083358,-1.970728663,-1.849895083,NA,NA,NA,NA,NA,24.70729684850746,30.476119402985073,2.5291044776119405,16.27,10.119104477611941,336.2671641791045,338.11641791044775,-0.1991044776119403,0.16,20.702826511578948,15.941929824561404,1.425859649122807,16.39740350877193,68.83329824561403,421.6533333333333,459.4998245614035,2.3030526315789475,0.2212982456140351,0.17729166666666668,0.20208631066073016,NA,NA,1.2401473075557572,stratified,NA
A,pulsed,2020-07-03,185,6,PULSE1,3.24288600761196,34.1093382243842,-0.0024361226158387,5.8431525052448,75.3774694303277,0.00236677723971143,NA,NA,NA,NA,0.47162,49.25,0.20554,3.9,25.339285712857144,33.46666666666667,2.7452380952380953,16.03690476190476,8.525238095238095,342.6202380952381,340.4166666666667,-0.21095238095238095,0.16,20.41959064236842,16.776315789473685,1.509736842105263,16.406052631578948,71.41736842105263,450.86052631578946,494.16315789473686,3.0963157894736844,0.23868421052631578,0.17791666666666667,0.2027987183363849,NA,NA,1.4,mixed,NA
A,pulsed,2020-07-04,186,6,PULSE1,5.27925851193466,22.9715033537941,-0.00187194232335906,9.55087816915053,55.2260391560649,0.0031861928319637,0.778863109,-4.701393535,-3.922530426,NA,NA,NA,NA,NA,25.394335509803923,31.152941176470588,2.5533333333333332,16.25,12.076862745098039,345.45882352941175,342.87254901960785,-0.23980392156862745,0.16,20.395773978760683,23.838034188034186,2.141239316239316,16.403034188034187,53.030811965811964,424.28376068376065,465.2230769230769,2.626025641025641,0.225,0.14583333333333334,0.1662284576527745,NA,NA,1.2505976192344623,stratified,NA
A,pulsed,2020-07-05,187,7,PULSE1,7.12515766121179,28.8746211036808,-0.00188322058472112,12.7720631572551,63.8383780628094,0.00305628184541997,4.001053654,-6.845959293,-2.844905639,NA,NA,NA,NA,NA,25.815972221458335,37.2875,3.033125,16.23645833333333,7.4175,354.2895833333333,348.8520833333333,-0.19229166666666667,0.17,21.638888888666667,38.84777777777778,3.3979999999999997,16.358888888888888,71.07922222222223,416.0177777777778,443.5588888888889,4.199333333333334,0.213,0.13541666666666666,0.15435499639186204,NA,NA,1.4,mixed,NA
A,pulsed,2020-07-06,188,7,PULSE1,8.71506101464097,40.8130333057833,-0.00305994749314757,15.532764782553,86.2549868627289,-2.5604645929061e-4,1.977692,-5.520391102,-3.542699102,NA,0.41786,55.9,0.121505,3.9,25.63737374,39.972727272727276,3.2616363636363634,16.24090909090909,14.442181818181819,355.3545454545455,351.0618181818182,-0.19945454545454547,0.17,20.297784391309523,23.82142857142857,2.1469345238095237,16.410238095238096,6.74139880952381,529.1642857142857,581.3434523809524,1.3034821428571428,0.2830357142857143,0.178125,0.20303618756160316,NA,NA,1.2439527931013816,stratified,NA
A,pulsed,2020-07-07,189,7,PULSE1,7.13011759465337,31.1821752680501,-0.00272270203085788,12.550558359794,69.4457237639927,8.167943771965e-4,1.294854126,-4.833573342,-3.538719216,NA,NA,NA,NA,NA,26.4302832227451,39.970588235294116,3.215098039215686,16.22,17.66549019607843,361.55882352941177,351.9529411764706,-0.15372549019607842,0.17,21.029824561315788,23.423684210526318,2.0822631578947366,16.383947368421055,82.6028947368421,458.76473684210526,496.4994736842105,2.870263157894737,0.2398421052631579,0.12583333333333332,0.14343141203182258,0.00550883796168681,1.8754359978356e-4,1.2431701880897064,stratified,1.439949484
A,pulsed,2020-07-08,190,7,PULSE1,4.99038063815259,48.1837591941325,-0.00311328229401002,8.51884453252841,96.4335218095552,-1.4270067150848e-4,1.324595687,-4.648722751,-3.324127064,NA,0.694305,77.05,0.2578,3.9,26.716216217297298,48.08378378378379,3.8464864864864867,16.21,64.6618918918919,370.66486486486485,358.8891891891892,-0.09648648648648649,0.17,21.503276353923077,35.940769230769234,3.152974358974359,16.364666666666665,82.48510256410256,465.4646153846154,498.5282051282051,3.7036923076923074,0.24,0.3358333333333333,0.3828003910518179,NA,NA,1.3,mixed,NA
A,pulsed,2020-07-09,191,7,PULSE1,7.17260927787756,32.309270598432,-0.00290505741427232,12.1745838889157,69.8264972453956,2.0070968093056e-4,NA,NA,NA,NA,NA,NA,NA,NA,26.81597222,55.141666666666666,4.402916666666667,16.21,16.700208333333332,370.94166666666666,358.43333333333334,-0.214375,0.17,21.31250000083333,30.608333333333334,2.7024999999999997,16.375416666666666,124.60625000000002,467.4916666666667,502.9041666666667,7.645416666666666,0.24250000000000002,0.314375,0.3583410608543382,NA,NA,1.2421952247858963,stratified,NA
A,pulsed,2020-07-10,192,7,PULSE1,22.7806761665601,62.6512332785336,-0.0029373377851643,41.1430011802203,127.472710084877,0.00166975070640939,4.81510384,-6.301467844,-1.486364003,NA,0.27313,129.8,0.22823,3.9,25.05357142797619,44.29642857142857,3.6510714285714285,16.260714285714286,29.553214285714287,369.85833333333335,369.46309523809526,0.0475,0.17821428571428571,21.616782407208333,28.397083333333335,2.495697916666667,16.36790625,70.7375,473.8833333333333,506.6959375,3.0217916666666667,0.24492708333333335,0.19854166666666667,0.22630817163299158,NA,NA,1.4,mixed,NA
A,pulsed,2020-07-11,193,7,PULSE1,NA,NA,NA,NA,NA,NA,1.581745568,-4.363493708,-2.78174814,NA,NA,NA,NA,NA,26.48015873,73.78571428571429,5.9246428571428575,16.215714285714284,15.662857142857144,380.75714285714287,370.26785714285717,-0.21642857142857144,0.18,21.946969696774893,50.63982683982684,4.422402597402598,16.3569696969697,3.4103463203463207,516.7177489177488,548.6077922077923,0.7460822510822511,0.26454545454545453,0.25104166666666666,0.2861504163879904,NA,NA,1.6,mixed,NA
