SampleID,DOY,Pond,Alkalinity,pH,notes
E20F192,192,F,120.89,,
E20A195,195,A,148.86,,
E20B195,195,B,132.18,,
E20C195,195,C,117.74,,
E20D195,195,D,126.12,,
E20E195,195,E,119.59,,
E20F195,195,F,119.1,,
E20A197,197,A,143.33,,
E20B197,197,B,123.34,,
E20C197,197,C,112.48,,
E20D197,197,D,115.72,,
E20E197,197,E,107.17,,
E20F197,197,F,113.13,,
E20A199,199,A,145.23,,
E20B199,199,B,126.88,,
E20C199,199,C,111.65,,
E20D199,199,D,119.06,,
E20E199,199,E,112.22,,
E20F199,199,F,111.92,,
E20A202,202,A,150.67,6.69,
E20B202,202,B,130.2,7.31,
E20C202,202,C,121.21,8.59,
E20D202,202,D,123.5,8.77,
E20E202,202,E,116.2,8.89,
E20F202,202,F,117.22,8.22,
E20A204,204,A,153.05,6.97,
E20B204,204,B,131.93,6.77,
E20C204,204,C,118.01,7.92,
E20D204,204,D,124.01,8.58,
E20E204,204,E,119.68,8.96,
E20F204,204,F,116.9,7.45,
E20A206,206,A,155.16,6.84,
E20B206,206,B,138.14,6.81,
E20C206,206,C,122.51,7.63,
E20D206,206,D,124.81,8.6,
E20E206,206,E,120.03,8.84,
E20F206,206,F,118.54,7.24,
E20A209,209,A,157.34,6.6,
E20B209,209,B,138.42,6.59,
E20C209,209,C,123.06,6.78,
E20D209,209,D,125.17,8.1,
E20E209,209,E,120.56,8.43,
E20F209,209,F,119.63,6.67,
E20A211,211,A,162.34,6.99,
E20B211,211,B,139.85,6.98,
E20C211,211,C,126.61,7.16,
E20D211,211,D,126.02,8.23,
E20E211,211,E,119.7,8.59,
E20F211,211,F,123.89,6.91,
E20A213,213,A,165.56,6.63,
E20B213,213,B,143.67,6.89,
E20C213,213,C,131.89,6.71,
E20D213,213,D,127.18,7.89,
E20E213,213,E,122,8.2,
E20F213,213,F,126.67,6.65,
E20A216,216,A,169.21,6.31,
E20B216,216,B,152.2,6.97,
E20C216,216,C,142.42,6.7,
E20D216,216,D,131.93,6.84,
E20E216,216,E,122.62,7.08,
E20F216,216,F,135.59,6.71,
E20A218,218,A,170.6,6.83,
E20B218,218,B,148.77,7.15,
E20C218,218,C,143.46,6.77,
E20D218,218,D,136,6.64,
E20E218,218,E,126.42,6.61,
E20F218,218,F,137.1,6.62,
E20A220,220,A,169.66,6.56,
E20B220,220,B,148.02,7.11,
E20C220,220,C,143.81,6.94,
E20D220,220,D,138.39,6.64,
E20E220,220,E,127.95,6.61,
E20F220,220,F,137.24,6.61,
E20A222,222,A,187.56,7.36,
E20B222,222,B,155.16,8.06,
E20C222,222,C,147.28,8.2,
E20D222,222,D,142.52,7.34,
E20E222,222,E,127.14,7.28,
E20F222,222,F,138.02,7.26,
E20A224,224,A,162.5,6.98,
E20B224,224,B,141.8,7.06,
E20C224,224,C,142.56,7.15,
E20D224,224,D,136.82,6.61,
E20E224,224,E,123.97,6.57,
E20F224,224,F,135.94,6.64,
E20A226,226,A,159.63,7.08,
E20B226,226,B,145.01,7.36,
E20C226,226,C,142.84,7.85,
E20D226,226,D,140.61,7.6,
E20E226,226,E,127.97,6.96,
E20F226,226,F,136.49,6.85,
E20A229,229,A,186.4,7.35,
E20B229,229,B,143.53,7.3,
E20C229,229,C,146.41,7.72,
E20D229,229,D,139.92,7.53,
E20E229,229,E,129.64,7.1,
E20F229,229,F,134.06,7.06,
E20A231,231,A,164.3,6.75,
E20B231,231,B,150.78,6.9,
E20C231,231,C,147.43,7.19,
E20D231,231,D,152.01,6.78,
E20E231,231,E,134.73,6.66,
E20F231,231,F,143.99,6.72,
E20A233,233,A,168.1,6.99,
E20B233,233,B,156.01,6.98,
E20C233,233,C,155.32,7.76,
E20D233,233,D,159.76,7.07,
E20E233,233,E,142.72,6.83,
E20F233,233,F,154.21,7.03,
E20A236,236,A,192.84,7.19,
E20B236,236,B,164.42,7.27,
E20C236,236,C,158.33,7.72,
E20D236,236,D,163.91,7.31,
E20E236,236,E,143.92,7.06,
E20F236,236,F,155.85,7.29,
E20A238,238,A,171.93,6.69,
E20B238,238,B,162.8,6.91,
E20C238,238,C,161.97,7.36,
E20D238,238,D,169.36,7.23,
E20E238,238,E,149.28,6.74,
E20F238,238,F,158.73,7.16,
E20A240,240,A,185.26,6.97,
E20B240,240,B,154.73,6.44,
E20C240,240,C,157.35,6.76,
E20D240,240,D,156.65,7.11,
E20E240,240,E,144.52,6.57,
E20F240,240,F,147.24,6.69,
