sample_id,pond_id,week,date,vol_water,vol_air,notes
E20D162,D,3,6/10/2020,40,20,
E20E162,E,3,6/10/2020,40,20,
E20F162,F,3,6/10/2020,40,20,
E20Y162,Y,3,6/10/2020,40,20,
E20A164,A,3,6/12/2020,40,20,
E20B164,B,3,6/12/2020,40,20,
E20C164,C,3,6/12/2020,40,20,
E20D164,D,3,6/12/2020,40,20,
E20E164,E,3,6/12/2020,40,20,
E20F164,F,3,6/12/2020,40,20,
E20Y164,Y,3,6/12/2020,40,20,
E20A167,A,4,6/15/2020,40,20,
E20B167,B,4,6/15/2020,40,20,
E20C167,C,4,6/15/2020,40,20,
E20D167,D,4,6/15/2020,40,20,
E20E167,E,4,6/15/2020,40,20,
E20F167,F,4,6/15/2020,40,20,
E20Y167,Y,4,6/15/2020,40,20,
E20A169,A,4,6/17/2020,40,20,
E20B169,B,4,6/17/2020,40,20,
E20C169,C,4,6/17/2020,40,20,
E20D169,D,4,6/17/2020,40,20,
E20E169,E,4,6/17/2020,40,20,
E20F169,F,4,6/17/2020,40,20,
E20Y169,Y,4,6/17/2020,40,20,
E20A171,A,4,6/19/2020,40,20,
E20B171,B,4,6/19/2020,40,20,
E20C171,C,4,6/19/2020,40,20,
E20D171,D,4,6/19/2020,40,20,
E20E171,E,4,6/19/2020,40,20,
E20F171,F,4,6/19/2020,40,20,
E20Y171,Y,4,6/19/2020,40,20,
E20A173,A,5,6/21/2020,40,20,
E20B173,B,5,6/21/2020,40,20,
E20C173,C,5,6/21/2020,40,20,
E20D173,D,5,6/21/2020,40,20,
E20E173,E,5,6/21/2020,40,20,
E20F173,F,5,6/21/2020,40,20,
E20Y173,Y,5,6/21/2020,40,20,
E20A174,A,5,6/22/2020,40,20,
E20B174,B,5,6/22/2020,40,20,
E20C174,C,5,6/22/2020,40,20,
E20D174,D,5,6/22/2020,40,20,
E20E174,E,5,6/22/2020,40,20,
E20F174,F,5,6/22/2020,40,20,
E20Y174,Y,5,6/22/2020,40,20,
E20A175,A,5,6/23/2020,40,20,
E20B175,B,5,6/23/2020,40,20,
E20C175,C,5,6/23/2020,40,20,
E20D175,D,5,6/23/2020,40,20,
E20E175,E,5,6/23/2020,40,20,
E20F175,F,5,6/23/2020,40,20,
E20Y175,Y,5,6/23/2020,40,20,
E20A176,A,5,6/24/2020,40,20,
E20B176,B,5,6/24/2020,40,20,
E20C176,C,5,6/24/2020,40,20,
E20D176,D,5,6/24/2020,40,20,
E20E176,E,5,6/24/2020,40,20,
E20F176,F,5,6/24/2020,40,20,
E20Y176,Y,5,6/24/2020,40,20,
E20A177,A,5,6/25/2020,40,20,
E20B177,B,5,6/25/2020,40,20,
E20C177,C,5,6/25/2020,40,20,
E20D177,D,5,6/25/2020,40,20,
E20E177,E,5,6/25/2020,40,20,
E20F177,F,5,6/25/2020,40,20,
E20Y177,Y,5,6/25/2020,40,20,
E20A178,A,5,6/26/2020,40,20,
E20B178,B,5,6/26/2020,40,20,
E20C178,C,5,6/26/2020,40,20,
E20D178,D,5,6/26/2020,40,20,
E20E178,E,5,6/26/2020,40,20,
E20F178,F,5,6/26/2020,40,20,
E20Y178,Y,5,6/26/2020,40,20,
E20A179,A,5,6/27/2020,40,20,
E20B179,B,5,6/27/2020,40,20,
E20C179,C,5,6/27/2020,40,20,
E20D179,D,5,6/27/2020,40,20,
E20E179,E,5,6/27/2020,40,20,
E20F179,F,5,6/27/2020,40,20,
E20Y179,Y,5,6/27/2020,40,20,
E20A180,A,6,6/28/2020,40,20,
E20B180,B,6,6/28/2020,40,20,
E20C180,C,6,6/28/2020,40,20,
E20D180,D,6,6/28/2020,40,20,
E20E180,E,6,6/28/2020,40,20,
E20F180,F,6,6/28/2020,40,20,
E20Y180,Y,6,6/28/2020,40,20,
E20A181,A,6,6/29/2020,40,20,
E20B181,B,6,6/29/2020,40,20,
E20C181,C,6,6/29/2020,40,20,
E20D181,D,6,6/29/2020,40,20,
E20E181,E,6,6/29/2020,40,20,
E20F181,F,6,6/29/2020,40,20,
E20Y181,Y,6,6/29/2020,40,20,
E20A182,A,6,6/30/2020,40,20,
E20B182,B,6,6/30/2020,40,20,
E20C182,C,6,6/30/2020,40,20,
E20D182,D,6,6/30/2020,40,20,
E20E182,E,6,6/30/2020,40,20,
E20F182,F,6,6/30/2020,40,20,
E20Y182,Y,6,6/30/2020,40,20,
E20A183,A,6,7/1/2020,40,20,
E20B183,B,6,7/1/2020,40,20,
E20C183,C,6,7/1/2020,40,20,
E20D183,D,6,7/1/2020,40,20,
E20E183,E,6,7/1/2020,40,20,
E20F183,F,6,7/1/2020,40,20,
E20Y183,Y,6,7/1/2020,40,20,
E20A184,A,6,7/2/2020,40,20,
E20B184,B,6,7/2/2020,40,20,
E20C184,C,6,7/2/2020,40,20,
E20D184,D,6,7/2/2020,40,20,
E20E184,E,6,7/2/2020,40,20,
E20F184,F,6,7/2/2020,40,20,
E20Y184,Y,6,7/2/2020,40,20,
E20A185,A,6,7/3/2020,40,20,
E20B185,B,6,7/3/2020,40,20,
E20C185,C,6,7/3/2020,40,20,
E20D185,D,6,7/3/2020,40,20,
E20E185,E,6,7/3/2020,40,20,
E20F185,F,6,7/3/2020,40,20,
E20Y185,Y,6,7/3/2020,40,20,
E20A186,A,6,7/4/2020,40,20,
E20B186,B,6,7/4/2020,40,20,
E20C186,C,6,7/4/2020,40,20,
E20D186,D,6,7/4/2020,40,20,
E20E186,E,6,7/4/2020,40,20,
E20F186,F,6,7/4/2020,40,20,
E20Y186,Y,6,7/4/2020,40,20,
E20A187,A,7,7/5/2020,40,20,
E20B187,B,7,7/5/2020,40,20,
E20C187,C,7,7/5/2020,40,20,
E20D187,D,7,7/5/2020,40,20,
E20E187,E,7,7/5/2020,40,20,
E20F187,F,7,7/5/2020,40,20,
E20Y187,Y,7,7/5/2020,40,20,
E20A188,A,7,7/6/2020,40,20,
E20B188,B,7,7/6/2020,40,20,
E20C188,C,7,7/6/2020,40,20,
E20D188,D,7,7/6/2020,40,20,
E20E188,E,7,7/6/2020,40,20,
E20F188,F,7,7/6/2020,40,20,
E20Y188,Y,7,7/6/2020,40,20,
E20A189,A,7,7/7/2020,40,20,
E20B189,B,7,7/7/2020,40,20,
E20C189,C,7,7/7/2020,40,20,
E20D189,D,7,7/7/2020,40,20,
E20E189,E,7,7/7/2020,40,20,
E20F189,F,7,7/7/2020,40,20,
E20Y189,Y,7,7/7/2020,40,20,
E20A190,A,7,7/8/2020,40,20,
E20B190,B,7,7/8/2020,40,20,
E20C190,C,7,7/8/2020,40,20,
E20D190,D,7,7/8/2020,40,20,
E20E190,E,7,7/8/2020,40,20,
E20F190,F,7,7/8/2020,40,20,
E20Y190,Y,7,7/8/2020,40,20,
E20A191,A,7,7/9/2020,40,20,
E20B191,B,7,7/9/2020,40,20,
E20C191,C,7,7/9/2020,40,20,
E20D191,D,7,7/9/2020,40,20,
E20E191,E,7,7/9/2020,40,20,
E20F191,F,7,7/9/2020,40,20,
E20Y191,Y,7,7/9/2020,40,20,
E20A192,A,7,7/10/2020,40,20,
E20B192,B,7,7/10/2020,40,20,
E20C192,C,7,7/10/2020,40,20,
E20D192,D,7,7/10/2020,40,20,
E20E192,E,7,7/10/2020,40,20,
E20F192,F,7,7/10/2020,40,20,
E20Y192,Y,7,7/10/2020,40,20,
E20A195,A,8,7/13/2020,40,20,
E20B195,B,8,7/13/2020,40,20,
E20C195,C,8,7/13/2020,40,20,
E20D195,D,8,7/13/2020,40,20,
E20E195,E,8,7/13/2020,40,20,
E20F195,F,8,7/13/2020,40,20,
E20Y195,Y,8,7/13/2020,40,20,
E20A197,A,8,7/15/2020,40,20,
E20B197,B,8,7/15/2020,40,20,
E20C197,C,8,7/15/2020,40,20,
E20D197,D,8,7/15/2020,40,20,
E20E197,E,8,7/15/2020,40,20,
E20F197,F,8,7/15/2020,40,20,
E20Y197,Y,8,7/15/2020,40,20,
E20A199,A,8,7/17/2020,40,20,
E20B199,B,8,7/17/2020,40,20,
E20C199,C,8,7/17/2020,40,20,
E20D199,D,8,7/17/2020,40,20,
E20E199,E,8,7/17/2020,40,20,
E20F199,F,8,7/17/2020,40,20,
E20Y199,Y,8,7/17/2020,40,20,
E20A202,A,9,7/20/2020,40,20,
E20B202,B,9,7/20/2020,40,20,
E20C202,C,9,7/20/2020,40,20,
E20D202,D,9,7/20/2020,40,20,
E20E202,E,9,7/20/2020,40,20,
E20F202,F,9,7/20/2020,40,20,
E20Y202,Y,9,7/20/2020,40,20,
E20A204,A,9,7/22/2020,40,20,
E20B204,B,9,7/22/2020,40,20,
E20C204,C,9,7/22/2020,40,20,
E20D204,D,9,7/22/2020,40,20,
E20E204,E,9,7/22/2020,40,20,
E20F204,F,9,7/22/2020,40,20,
E20Y204,Y,9,7/22/2020,40,20,
E20A206,A,9,7/24/2020,40,20,
E20B206,B,9,7/24/2020,40,20,
E20C206,C,9,7/24/2020,40,20,
E20D206,D,9,7/24/2020,40,20,
E20E206,E,9,7/24/2020,40,20,
E20F206,F,9,7/24/2020,40,20,
E20Y206,Y,9,7/24/2020,40,20,
E20A209,A,10,7/27/2020,40,20,
E20B209,B,10,7/27/2020,40,20,
E20C209,C,10,7/27/2020,40,20,
E20D209,D,10,7/27/2020,40,20,
E20E209,E,10,7/27/2020,40,20,
E20F209,F,10,7/27/2020,40,20,
E20Y209,Y,10,7/27/2020,40,20,
E20A211,A,10,7/29/2020,40,20,
E20B211,B,10,7/29/2020,40,20,
E20C211,C,10,7/29/2020,40,20,
E20D211,D,10,7/29/2020,40,20,
E20E211,E,10,7/29/2020,40,20,
E20F211,F,10,7/29/2020,40,20,
E20Y211,Y,10,7/29/2020,40,20,
E20A213,A,10,7/31/2020,40,20,
E20B213,B,10,7/31/2020,40,20,
E20C213,C,10,7/31/2020,40,20,
E20D213,D,10,7/31/2020,40,20,
E20E213,E,10,7/31/2020,40,20,
E20F213,F,10,7/31/2020,40,20,
E20Y213,Y,10,7/31/2020,40,20,
E20A216,A,11,8/3/2020,40,20,
E20B216,B,11,8/3/2020,40,20,
E20C216,C,11,8/3/2020,40,20,
E20D216,D,11,8/3/2020,40,20,
E20E216,E,11,8/3/2020,40,20,
E20F216,F,11,8/3/2020,40,20,
E20Y216,Y,11,8/3/2020,40,20,
E20A218,A,11,8/5/2020,40,20,
E20B218,B,11,8/5/2020,40,20,
E20C218,C,11,8/5/2020,40,20,
E20D218,D,11,8/5/2020,40,20,
E20E218,E,11,8/5/2020,40,20,
E20F218,F,11,8/5/2020,40,20,
E20Y218,Y,11,8/5/2020,40,20,
E20A220,A,11,8/7/2020,40,20,
E20B220,B,11,8/7/2020,40,20,
E20C220,C,11,8/7/2020,40,20,
E20D220,D,11,8/7/2020,40,20,
E20E220,E,11,8/7/2020,40,20,
E20F220,F,11,8/7/2020,40,20,
E20Y220,Y,11,8/7/2020,40,20,
E20A223,A,12,8/9/2020,40,20,"label says 223, but sample collected DOY 222"
E20B223,B,12,8/9/2020,40,20,"label says 223, but sample collected DOY 222"
E20C223,C,12,8/9/2020,40,20,"label says 223, but sample collected DOY 222"
E20D223,D,12,8/9/2020,40,20,"label says 223, but sample collected DOY 222"
E20E223,E,12,8/9/2020,40,20,"label says 223, but sample collected DOY 222"
E20F223,F,12,8/9/2020,40,20,"label says 223, but sample collected DOY 222"
E20Y223,Y,12,8/9/2020,40,20,"label says 223, but sample collected DOY 222"
E20A224,A,12,8/11/2020,40,20,
E20B224,B,12,8/11/2020,40,20,
E20C224,C,12,8/11/2020,40,20,
E20D224,D,12,8/11/2020,40,20,
E20E224,E,12,8/11/2020,40,20,
E20F224,F,12,8/11/2020,40,20,
E20Y224,Y,12,8/11/2020,40,20,
E20A226,A,12,8/13/2020,40,20,
E20B226,B,12,8/13/2020,40,20,
E20C226,C,12,8/13/2020,40,20,
E20D226,D,12,8/13/2020,40,20,
E20E226,E,12,8/13/2020,40,20,
E20F226,F,12,8/13/2020,40,20,
E20Y226,Y,12,8/13/2020,40,20,
E20A229,A,13,8/16/2020,40,20,
E20B229,B,13,8/16/2020,40,20,
E20C229,C,13,8/16/2020,40,20,
E20D229,D,13,8/16/2020,40,20,
E20E229,E,13,8/16/2020,40,20,
E20F229,F,13,8/16/2020,40,20,
E20Y229,Y,13,8/16/2020,40,20,
E20A231,A,13,8/18/2020,40,20,
E20B231,B,13,8/18/2020,40,20,
E20C231,C,13,8/18/2020,40,20,
E20D231,D,13,8/18/2020,40,20,
E20E231,E,13,8/18/2020,40,20,
E20F231,F,13,8/18/2020,40,20,
E20Y231,Y,13,8/18/2020,40,20,
E20A233,A,13,8/20/2020,40,20,"markings on syringes worn off, sample volumes collected likely not accurate, GHG data may not be good"
E20B233,B,13,8/20/2020,40,20,"markings on syringes worn off, sample volumes collected likely not accurate, GHG data may not be good"
E20C233,C,13,8/20/2020,40,20,"markings on syringes worn off, sample volumes collected likely not accurate, GHG data may not be good"
E20D233,D,13,8/20/2020,40,20,"markings on syringes worn off, sample volumes collected likely not accurate, GHG data may not be good"
E20E233,E,13,8/20/2020,40,20,"markings on syringes worn off, sample volumes collected likely not accurate, GHG data may not be good"
E20F233,F,13,8/20/2020,40,20,"markings on syringes worn off, sample volumes collected likely not accurate, GHG data may not be good"
E20Y233,Y,13,8/20/2020,40,20,"markings on syringes worn off, sample volumes collected likely not accurate, GHG data may not be good"
E20A236,A,14,8/23/2020,40,20,
E20B236,B,14,8/23/2020,40,20,
E20C236,C,14,8/23/2020,40,20,
E20D236,D,14,8/23/2020,40,20,
E20E236,E,14,8/23/2020,40,20,
E20F236,F,14,8/23/2020,40,20,
E20Y236,Y,14,8/23/2020,40,20,
E20A238,A,14,8/25/2020,40,20,
E20B238,B,14,8/25/2020,40,20,
E20C238,C,14,8/25/2020,40,20,
E20D238,D,14,8/25/2020,40,20,
E20E238,E,14,8/25/2020,40,20,
E20F238,F,14,8/25/2020,40,20,
E20Y238,Y,14,8/25/2020,40,20,
E20A240,A,14,8/27/2020,40,20,
E20B240,B,14,8/27/2020,40,20,
E20C240,C,14,8/27/2020,40,20,
E20D240,D,14,8/27/2020,40,20,
E20E240,E,14,8/27/2020,40,20,
E20F240,F,14,8/27/2020,40,20,
E20Y240,Y,14,8/27/2020,40,20,
