Plot Title: 2020_Hort-Farm,,,,
#,"Date Time, GMT-05:00","Wind Speed, m/s (LGR S/N: 20849581, SEN S/N: 20843154)","Gust Speed, m/s (LGR S/N: 20849581, SEN S/N: 20843154)","PAR, µmol/m²/s (LGR S/N: 20849581, SEN S/N: 20856725)"
40,5/24/2020 13:30,2.01,6.54,1906.2
41,5/24/2020 14:00,2.01,6.04,2151.2
42,5/24/2020 14:30,2.01,6.54,1818.7
43,5/24/2020 15:00,2.01,6.54,1721.2
44,5/24/2020 15:30,2.01,6.54,1053.7
45,5/24/2020 16:00,1.51,6.54,741.2
46,5/24/2020 16:30,1.51,6.04,926.2
47,5/24/2020 17:00,1.51,5.03,501.2
48,5/24/2020 17:30,0.5,4.53,171.2
49,5/24/2020 18:00,0,2.01,211.2
50,5/24/2020 18:30,0,2.01,121.2
51,5/24/2020 19:00,0,1.51,81.2
52,5/24/2020 19:30,0,1.51,21.2
53,5/24/2020 20:00,0,2.52,13.7
54,5/24/2020 20:30,1.01,5.54,1.2
55,5/24/2020 21:00,0,2.01,1.2
56,5/24/2020 21:30,0,3.52,1.2
57,5/24/2020 22:00,0,2.52,1.2
58,5/24/2020 22:30,0,1.51,1.2
59,5/24/2020 23:00,0,1.51,1.2
60,5/24/2020 23:30,0,1.01,1.2
61,5/25/2020 0:00,0,1.01,1.2
62,5/25/2020 0:30,0,1.51,1.2
63,5/25/2020 1:00,0,1.01,1.2
64,5/25/2020 1:30,0,0.5,1.2
65,5/25/2020 2:00,0,0.5,1.2
66,5/25/2020 2:30,0,0,1.2
67,5/25/2020 3:00,0,0,1.2
68,5/25/2020 3:30,0,0,1.2
69,5/25/2020 4:00,0,1.51,1.2
70,5/25/2020 4:30,0,1.51,1.2
71,5/25/2020 5:00,0,2.52,1.2
72,5/25/2020 5:30,0,2.52,1.2
73,5/25/2020 6:00,0,2.01,1.2
74,5/25/2020 6:30,0,1.51,18.7
75,5/25/2020 7:00,0,2.01,71.2
76,5/25/2020 7:30,0.5,2.52,228.7
77,5/25/2020 8:00,0,2.52,388.7
78,5/25/2020 8:30,0,2.52,123.7
79,5/25/2020 9:00,0,2.52,296.2
80,5/25/2020 9:30,0.5,2.52,871.2
81,5/25/2020 10:00,0,2.01,966.2
82,5/25/2020 10:30,0.5,2.52,561.2
83,5/25/2020 11:00,0.5,3.02,1361.2
84,5/25/2020 11:30,0.5,3.52,1201.2
85,5/25/2020 12:00,1.01,3.52,2128.7
86,5/25/2020 12:30,1.01,4.03,1063.7
87,5/25/2020 13:00,1.01,3.02,1116.2
88,5/25/2020 13:30,1.01,4.03,711.2
89,5/25/2020 14:00,0.5,6.04,881.2
90,5/25/2020 14:30,0.5,4.03,1878.7
91,5/25/2020 15:00,1.01,4.53,808.7
92,5/25/2020 15:30,0,2.52,1611.2
93,5/25/2020 16:00,0,2.52,1033.7
94,5/25/2020 16:30,0,1.51,613.7
95,5/25/2020 17:00,0,2.01,521.2
96,5/25/2020 17:30,1.01,4.53,51.2
97,5/25/2020 18:00,0,2.52,71.2
98,5/25/2020 18:30,1.01,7.05,13.7
99,5/25/2020 19:00,0,2.01,3.7
100,5/25/2020 19:30,1.01,4.53,3.7
101,5/25/2020 20:00,1.01,5.54,13.7
102,5/25/2020 20:30,0.5,3.02,3.7
103,5/25/2020 21:00,0,1.51,1.2
104,5/25/2020 21:30,0,2.52,1.2
105,5/25/2020 22:00,0.5,3.02,1.2
106,5/25/2020 22:30,0,4.03,1.2
107,5/25/2020 23:00,0.5,2.52,1.2
108,5/25/2020 23:30,0,2.52,1.2
109,5/26/2020 0:00,0,2.52,1.2
110,5/26/2020 0:30,0,2.52,1.2
111,5/26/2020 1:00,0.5,2.52,1.2
112,5/26/2020 1:30,0,2.52,1.2
113,5/26/2020 2:00,0,2.52,1.2
114,5/26/2020 2:30,0,2.52,1.2
115,5/26/2020 3:00,0,2.52,1.2
116,5/26/2020 3:30,0,2.52,1.2
117,5/26/2020 4:00,0,1.51,1.2
118,5/26/2020 4:30,0,1.51,1.2
119,5/26/2020 5:00,0,1.51,1.2
120,5/26/2020 5:30,0,1.51,1.2
121,5/26/2020 6:00,0,1.51,26.2
122,5/26/2020 6:30,0,1.01,48.7
123,5/26/2020 7:00,0,2.01,146.2
124,5/26/2020 7:30,0,2.01,76.2
125,5/26/2020 8:00,0,1.51,121.2
126,5/26/2020 8:30,0,1.51,418.7
127,5/26/2020 9:00,0,1.51,461.2
128,5/26/2020 9:30,0.5,3.52,423.7
129,5/26/2020 10:00,0.5,3.52,738.7
130,5/26/2020 10:30,0.5,3.52,946.2
131,5/26/2020 11:00,1.01,3.02,923.7
132,5/26/2020 11:30,1.01,3.52,996.2
133,5/26/2020 12:00,1.01,3.52,1021.2
134,5/26/2020 12:30,1.01,4.03,1058.7
135,5/26/2020 13:00,1.01,5.03,1866.2
136,5/26/2020 13:30,1.01,4.03,848.7
137,5/26/2020 14:00,1.01,6.04,1001.2
138,5/26/2020 14:30,1.51,6.54,2373.7
139,5/26/2020 15:00,2.01,6.54,96.2
140,5/26/2020 15:30,2.01,7.55,316.2
141,5/26/2020 16:00,2.01,8.56,58.7
142,5/26/2020 16:30,0.5,7.55,148.7
143,5/26/2020 17:00,1.51,6.04,278.7
144,5/26/2020 17:30,0.5,4.03,806.2
145,5/26/2020 18:00,0.5,3.52,871.2
146,5/26/2020 18:30,1.01,4.53,326.2
147,5/26/2020 19:00,1.01,4.53,246.2
148,5/26/2020 19:30,1.01,5.03,198.7
149,5/26/2020 20:00,0.5,4.53,63.7
150,5/26/2020 20:30,1.01,5.03,13.7
151,5/26/2020 21:00,0,3.02,1.2
152,5/26/2020 21:30,0,1.01,1.2
153,5/26/2020 22:00,0,0.5,1.2
154,5/26/2020 22:30,0,1.01,1.2
155,5/26/2020 23:00,0,2.01,1.2
156,5/26/2020 23:30,0.5,3.52,1.2
157,5/27/2020 0:00,0.5,4.03,1.2
158,5/27/2020 0:30,0.5,4.03,1.2
159,5/27/2020 1:00,0.5,4.53,1.2
160,5/27/2020 1:30,0,4.03,1.2
161,5/27/2020 2:00,0.5,4.03,1.2
162,5/27/2020 2:30,0.5,3.52,1.2
163,5/27/2020 3:00,1.01,4.03,1.2
164,5/27/2020 3:30,0.5,3.52,1.2
165,5/27/2020 4:00,0,2.01,1.2
166,5/27/2020 4:30,0,2.01,1.2
167,5/27/2020 5:00,0,2.01,1.2
168,5/27/2020 5:30,0,2.01,1.2
169,5/27/2020 6:00,0,0.5,6.2
170,5/27/2020 6:30,0,1.51,31.2
171,5/27/2020 7:00,0,3.02,96.2
172,5/27/2020 7:30,0.5,3.02,78.7
173,5/27/2020 8:00,0,3.02,131.2
174,5/27/2020 8:30,0,2.01,188.7
175,5/27/2020 9:00,0,2.01,296.2
176,5/27/2020 9:30,0.5,3.02,1171.2
177,5/27/2020 10:00,0.5,3.52,511.2
178,5/27/2020 10:30,0,2.01,343.7
179,5/27/2020 11:00,0,2.01,446.2
180,5/27/2020 11:30,0,1.51,726.2
181,5/27/2020 12:00,0,1.51,298.7
182,5/27/2020 12:30,0,1.51,453.7
183,5/27/2020 13:00,0,2.52,1276.2
184,5/27/2020 13:30,0.5,2.52,946.2
185,5/27/2020 14:00,0.5,2.52,1211.2
186,5/27/2020 14:30,0.5,2.52,1306.2
187,5/27/2020 15:00,0.5,3.02,2091.2
188,5/27/2020 15:30,0.5,2.52,311.2
189,5/27/2020 16:00,0,2.52,1936.2
190,5/27/2020 16:30,0.5,2.52,1306.2
191,5/27/2020 17:00,0,2.52,866.2
192,5/27/2020 17:30,0,2.01,683.7
193,5/27/2020 18:00,0,1.51,508.7
194,5/27/2020 18:30,0,0.5,251.2
195,5/27/2020 19:00,0,0.5,248.7
196,5/27/2020 19:30,0,1.01,148.7
197,5/27/2020 20:00,0,0,53.7
198,5/27/2020 20:30,0,0,13.7
199,5/27/2020 21:00,0,0,1.2
200,5/27/2020 21:30,0,0,1.2
201,5/27/2020 22:00,0,0.5,1.2
202,5/27/2020 22:30,0,2.52,1.2
203,5/27/2020 23:00,0,2.52,1.2
204,5/27/2020 23:30,0,1.51,1.2
205,5/28/2020 0:00,0,0.5,1.2
206,5/28/2020 0:30,0,1.01,1.2
207,5/28/2020 1:00,0,1.01,1.2
208,5/28/2020 1:30,0,1.01,1.2
209,5/28/2020 2:00,0,1.01,1.2
210,5/28/2020 2:30,0,0.5,1.2
211,5/28/2020 3:00,0,1.01,1.2
212,5/28/2020 3:30,0,2.01,1.2
213,5/28/2020 4:00,0,1.01,1.2
214,5/28/2020 4:30,0,1.01,1.2
215,5/28/2020 5:00,0,1.01,1.2
216,5/28/2020 5:30,0,1.51,1.2
217,5/28/2020 6:00,0,1.01,6.2
218,5/28/2020 6:30,0,1.01,16.2
219,5/28/2020 7:00,1.01,5.03,13.7
220,5/28/2020 7:30,1.01,4.53,23.7
221,5/28/2020 8:00,0.5,3.52,28.7
222,5/28/2020 8:30,1.51,5.54,68.7
223,5/28/2020 9:00,1.01,4.53,101.2
224,5/28/2020 9:30,2.01,6.54,198.7
225,5/28/2020 10:00,2.52,7.55,188.7
226,5/28/2020 10:30,2.01,6.54,423.7
227,5/28/2020 11:00,1.01,5.54,508.7
228,5/28/2020 11:30,2.52,7.05,733.7
229,5/28/2020 12:00,3.52,8.05,821.2
230,5/28/2020 12:30,3.52,8.56,753.7
231,5/28/2020 13:00,3.02,7.55,1253.7
232,5/28/2020 13:30,3.02,8.05,1561.2
233,5/28/2020 14:00,2.52,6.54,1738.7
234,5/28/2020 14:30,2.52,6.54,1303.7
235,5/28/2020 15:00,3.52,9.56,2046.2
236,5/28/2020 15:30,3.02,6.54,1598.7
237,5/28/2020 16:00,2.52,7.05,1171.2
238,5/28/2020 16:30,2.01,6.54,1241.2
239,5/28/2020 17:00,2.01,6.54,588.7
240,5/28/2020 17:30,2.01,5.54,1198.7
241,5/28/2020 18:00,1.51,4.53,673.7
242,5/28/2020 18:30,0.5,3.02,698.7
243,5/28/2020 19:00,0,2.01,426.2
244,5/28/2020 19:30,0,0,243.7
245,5/28/2020 20:00,0,0,96.2
246,5/28/2020 20:30,0,1.51,26.2
247,5/28/2020 21:00,0,0,1.2
248,5/28/2020 21:30,0,1.01,1.2
249,5/28/2020 22:00,0,0.5,1.2
250,5/28/2020 22:30,0,1.51,1.2
251,5/28/2020 23:00,0,2.52,1.2
252,5/28/2020 23:30,0,1.51,1.2
253,5/29/2020 0:00,0,1.01,1.2
254,5/29/2020 0:30,0,2.52,1.2
255,5/29/2020 1:00,0,2.01,1.2
256,5/29/2020 1:30,0,1.51,1.2
257,5/29/2020 2:00,0,1.01,1.2
258,5/29/2020 2:30,0,2.01,1.2
259,5/29/2020 3:00,0.5,2.52,1.2
260,5/29/2020 3:30,0.5,2.52,1.2
261,5/29/2020 4:00,0.5,2.52,1.2
262,5/29/2020 4:30,0,2.52,1.2
263,5/29/2020 5:00,0,2.52,1.2
264,5/29/2020 5:30,0,2.52,1.2
265,5/29/2020 6:00,0.5,3.02,33.7
266,5/29/2020 6:30,0,2.01,138.7
267,5/29/2020 7:00,0.5,2.52,303.7
268,5/29/2020 7:30,1.01,3.02,481.2
269,5/29/2020 8:00,1.51,5.03,676.2
270,5/29/2020 8:30,1.01,5.03,866.2
271,5/29/2020 9:00,1.51,6.04,1051.2
272,5/29/2020 9:30,2.01,5.54,1226.2
273,5/29/2020 10:00,1.51,5.03,1463.7
274,5/29/2020 10:30,2.01,5.54,746.2
275,5/29/2020 11:00,2.01,5.54,2016.2
276,5/29/2020 11:30,2.52,7.55,2088.7
277,5/29/2020 12:00,2.52,8.05,2153.7
278,5/29/2020 12:30,2.52,7.05,2121.2
279,5/29/2020 13:00,2.52,7.05,691.2
280,5/29/2020 13:30,2.52,6.54,578.7
281,5/29/2020 14:00,2.52,6.04,1488.7
282,5/29/2020 14:30,2.52,9.06,1803.7
283,5/29/2020 15:00,2.01,6.04,1731.2
284,5/29/2020 15:30,1.51,5.03,1633.7
285,5/29/2020 16:00,2.01,4.53,1503.7
286,5/29/2020 16:30,1.01,5.03,1373.7
287,5/29/2020 17:00,1.51,5.54,1216.2
288,5/29/2020 17:30,1.51,6.04,1043.7
289,5/29/2020 18:00,1.01,6.04,861.2
290,5/29/2020 18:30,1.01,5.03,671.2
291,5/29/2020 19:00,1.01,4.53,476.2
292,5/29/2020 19:30,0.5,4.03,296.2
293,5/29/2020 20:00,0,3.52,68.7
294,5/29/2020 20:30,0,1.51,18.7
295,5/29/2020 21:00,0,0,1.2
296,5/29/2020 21:30,0,0,1.2
297,5/29/2020 22:00,0,0,1.2
298,5/29/2020 22:30,0,0,1.2
299,5/29/2020 23:00,0,0,1.2
300,5/29/2020 23:30,0,0,1.2
301,5/30/2020 0:00,0,0.5,1.2
302,5/30/2020 0:30,0,0,1.2
303,5/30/2020 1:00,0,0,1.2
304,5/30/2020 1:30,0,0,1.2
305,5/30/2020 2:00,0,0,1.2
306,5/30/2020 2:30,0,0,1.2
307,5/30/2020 3:00,0,0,1.2
308,5/30/2020 3:30,0,0,1.2
309,5/30/2020 4:00,0,0,1.2
310,5/30/2020 4:30,0,0,1.2
311,5/30/2020 5:00,0,0,1.2
312,5/30/2020 5:30,0,0,1.2
313,5/30/2020 6:00,0,0,31.2
314,5/30/2020 6:30,0,0,173.7
315,5/30/2020 7:00,0,0,421.2
316,5/30/2020 7:30,0,1.51,413.7
317,5/30/2020 8:00,0,2.01,401.2
318,5/30/2020 8:30,0,1.51,898.7
319,5/30/2020 9:00,0.5,2.52,1058.7
320,5/30/2020 9:30,0.5,3.02,1246.2
321,5/30/2020 10:00,1.01,3.52,1118.7
322,5/30/2020 10:30,1.01,5.03,1526.2
323,5/30/2020 11:00,1.01,5.03,1653.7
324,5/30/2020 11:30,1.01,4.03,1763.7
325,5/30/2020 12:00,1.51,4.53,1836.2
326,5/30/2020 12:30,1.51,4.53,1888.7
327,5/30/2020 13:00,1.51,5.03,1983.7
328,5/30/2020 13:30,1.51,6.04,1896.2
329,5/30/2020 14:00,1.51,5.54,231.2
330,5/30/2020 14:30,1.01,4.53,1683.7
331,5/30/2020 15:00,1.51,4.53,81.2
332,5/30/2020 15:30,1.01,4.53,1206.2
333,5/30/2020 16:00,1.01,4.03,1233.7
334,5/30/2020 16:30,0.5,3.02,1458.7
335,5/30/2020 17:00,1.01,4.53,1198.7
336,5/30/2020 17:30,1.51,4.53,1033.7
337,5/30/2020 18:00,0.5,4.03,848.7
338,5/30/2020 18:30,0.5,2.52,683.7
339,5/30/2020 19:00,0.5,2.52,211.2
340,5/30/2020 19:30,0,2.01,298.7
341,5/30/2020 20:00,0,0,66.2
342,5/30/2020 20:30,0,0.5,21.2
343,5/30/2020 21:00,0,0,1.2
344,5/30/2020 21:30,0,0,1.2
345,5/30/2020 22:00,0,0,1.2
346,5/30/2020 22:30,0,0,1.2
347,5/30/2020 23:00,0,0,1.2
348,5/30/2020 23:30,0,2.01,1.2
349,5/31/2020 0:00,0,1.51,1.2
350,5/31/2020 0:30,0,0.5,1.2
351,5/31/2020 1:00,0,0,1.2
352,5/31/2020 1:30,0,0,1.2
353,5/31/2020 2:00,0,0.5,1.2
354,5/31/2020 2:30,0,0,1.2
355,5/31/2020 3:00,0,0,1.2
356,5/31/2020 3:30,0,0,1.2
357,5/31/2020 4:00,0,1.51,1.2
358,5/31/2020 4:30,0,1.51,1.2
359,5/31/2020 5:00,0,2.01,1.2
360,5/31/2020 5:30,0,1.51,1.2
361,5/31/2020 6:00,0,2.01,28.7
362,5/31/2020 6:30,0.5,2.52,48.7
363,5/31/2020 7:00,0.5,3.52,48.7
364,5/31/2020 7:30,0.5,3.02,123.7
365,5/31/2020 8:00,0.5,3.02,253.7
366,5/31/2020 8:30,1.01,4.03,353.7
367,5/31/2020 9:00,0.5,4.03,583.7
368,5/31/2020 9:30,0.5,4.03,771.2
369,5/31/2020 10:00,1.01,6.04,411.2
370,5/31/2020 10:30,0.5,3.52,1808.7
371,5/31/2020 11:00,1.01,4.03,1023.7
372,5/31/2020 11:30,1.01,5.03,1058.7
373,5/31/2020 12:00,1.01,4.53,458.7
374,5/31/2020 12:30,1.01,4.53,796.2
375,5/31/2020 13:00,1.01,4.53,1296.2
376,5/31/2020 13:30,1.01,4.03,1128.7
377,5/31/2020 14:00,1.51,5.54,1266.2
378,5/31/2020 14:30,1.01,5.54,1166.2
379,5/31/2020 15:00,1.01,4.03,901.2
380,5/31/2020 15:30,1.51,4.03,991.2
381,5/31/2020 16:00,1.01,4.03,898.7
382,5/31/2020 16:30,1.01,4.53,826.2
383,5/31/2020 17:00,1.51,6.04,621.2
384,5/31/2020 17:30,1.51,5.03,976.2
385,5/31/2020 18:00,1.01,5.03,628.7
386,5/31/2020 18:30,1.01,5.03,601.2
387,5/31/2020 19:00,1.51,4.53,381.2
388,5/31/2020 19:30,1.51,7.05,331.2
389,5/31/2020 20:00,1.01,6.54,88.7
390,5/31/2020 20:30,1.01,4.53,23.7
391,5/31/2020 21:00,0.5,4.53,1.2
392,5/31/2020 21:30,0.5,4.03,1.2
393,5/31/2020 22:00,0.5,3.52,1.2
394,5/31/2020 22:30,0,2.52,1.2
395,5/31/2020 23:00,0,2.01,1.2
396,5/31/2020 23:30,0,2.52,1.2
397,6/1/2020 0:00,0.5,2.52,1.2
398,6/1/2020 0:30,0.5,3.52,1.2
399,6/1/2020 1:00,0.5,4.03,1.2
400,6/1/2020 1:30,0.5,3.52,1.2
401,6/1/2020 2:00,0,2.52,1.2
402,6/1/2020 2:30,0,3.52,1.2
403,6/1/2020 3:00,0,3.52,1.2
404,6/1/2020 3:30,0.5,3.02,1.2
405,6/1/2020 4:00,0.5,3.52,1.2
406,6/1/2020 4:30,0.5,4.03,1.2
407,6/1/2020 5:00,1.01,4.03,1.2
408,6/1/2020 5:30,1.01,4.53,1.2
409,6/1/2020 6:00,1.01,4.03,18.7
410,6/1/2020 6:30,1.01,4.53,33.7
411,6/1/2020 7:00,1.01,5.54,91.2
412,6/1/2020 7:30,1.01,5.03,63.7
413,6/1/2020 8:00,0.5,4.03,121.2
414,6/1/2020 8:30,0.5,3.52,183.7
415,6/1/2020 9:00,0.5,3.52,608.7
416,6/1/2020 9:30,0.5,3.52,721.2
417,6/1/2020 10:00,1.51,5.54,1061.2
418,6/1/2020 10:30,1.51,5.54,1566.2
419,6/1/2020 11:00,2.01,8.05,1613.7
420,6/1/2020 11:30,3.02,9.06,1723.7
421,6/1/2020 12:00,4.03,9.56,1703.7
422,6/1/2020 12:30,3.02,9.56,1826.2
423,6/1/2020 13:00,3.02,9.56,1866.2
424,6/1/2020 13:30,3.02,8.05,1828.7
425,6/1/2020 14:00,3.52,8.05,1751.2
426,6/1/2020 14:30,3.02,9.06,1768.7
427,6/1/2020 15:00,3.02,10.07,1728.7
428,6/1/2020 15:30,3.52,13.09,1663.7
429,6/1/2020 16:00,3.02,10.07,1428.7
430,6/1/2020 16:30,3.02,8.56,1418.7
431,6/1/2020 17:00,3.02,9.06,1158.7
432,6/1/2020 17:30,3.02,7.05,876.2
433,6/1/2020 18:00,2.01,8.56,801.2
434,6/1/2020 18:30,2.01,6.04,621.2
435,6/1/2020 19:00,2.01,6.54,473.7
436,6/1/2020 19:30,1.51,6.04,256.2
437,6/1/2020 20:00,1.01,5.03,93.7
438,6/1/2020 20:30,1.51,7.05,28.7
439,6/1/2020 21:00,0.5,4.03,1.2
440,6/1/2020 21:30,0.5,4.53,1.2
441,6/1/2020 22:00,1.01,5.54,1.2
442,6/1/2020 22:30,1.01,6.54,1.2
443,6/1/2020 23:00,2.01,7.55,1.2
444,6/1/2020 23:30,2.01,7.05,1.2
445,6/2/2020 0:00,2.01,6.54,1.2
446,6/2/2020 0:30,1.51,6.04,1.2
447,6/2/2020 1:00,1.51,6.54,1.2
448,6/2/2020 1:30,1.51,6.04,1.2
449,6/2/2020 2:00,1.51,5.54,1.2
450,6/2/2020 2:30,1.51,5.54,1.2
451,6/2/2020 3:00,1.51,5.03,1.2
452,6/2/2020 3:30,1.51,4.53,1.2
453,6/2/2020 4:00,0.5,4.03,1.2
454,6/2/2020 4:30,1.01,4.03,1.2
455,6/2/2020 5:00,1.01,3.52,1.2
456,6/2/2020 5:30,1.01,5.54,3.7
457,6/2/2020 6:00,0.5,3.52,48.7
458,6/2/2020 6:30,0.5,3.02,168.7
459,6/2/2020 7:00,0.5,3.52,326.2
460,6/2/2020 7:30,1.01,3.52,491.2
461,6/2/2020 8:00,1.01,4.53,666.2
462,6/2/2020 8:30,1.51,5.54,858.7
463,6/2/2020 9:00,1.51,4.53,1038.7
464,6/2/2020 9:30,1.51,6.04,1213.7
465,6/2/2020 10:00,2.01,6.04,1373.7
466,6/2/2020 10:30,2.01,6.54,1518.7
467,6/2/2020 11:00,1.51,6.54,1631.2
468,6/2/2020 11:30,1.51,4.53,1718.7
469,6/2/2020 12:00,1.51,6.54,1791.2
470,6/2/2020 12:30,2.01,6.04,1838.7
471,6/2/2020 13:00,2.01,6.04,1861.2
472,6/2/2020 13:30,1.51,6.54,1858.7
473,6/2/2020 14:00,2.01,5.54,1833.7
474,6/2/2020 14:30,2.01,6.04,1771.2
475,6/2/2020 15:00,2.01,7.55,1706.2
476,6/2/2020 15:30,2.52,10.07,1613.7
477,6/2/2020 16:00,2.52,8.56,1491.2
478,6/2/2020 16:30,2.52,8.56,1361.2
479,6/2/2020 17:00,2.52,6.04,1201.2
480,6/2/2020 17:30,2.52,8.05,1028.7
481,6/2/2020 18:00,2.52,7.55,841.2
482,6/2/2020 18:30,2.01,6.54,661.2
483,6/2/2020 19:00,1.51,7.55,468.7
484,6/2/2020 19:30,1.51,6.54,283.7
485,6/2/2020 20:00,1.01,5.03,81.2
486,6/2/2020 20:30,1.01,4.53,21.2
487,6/2/2020 21:00,0,3.52,1.2
488,6/2/2020 21:30,0,2.52,1.2
489,6/2/2020 22:00,0.5,3.52,1.2
490,6/2/2020 22:30,0.5,2.52,1.2
491,6/2/2020 23:00,0.5,3.52,1.2
492,6/2/2020 23:30,1.01,4.03,1.2
493,6/3/2020 0:00,0,3.52,1.2
494,6/3/2020 0:30,0.5,2.52,1.2
495,6/3/2020 1:00,0,1.51,1.2
496,6/3/2020 1:30,0,0.5,1.2
497,6/3/2020 2:00,0,0.5,1.2
498,6/3/2020 2:30,0,0.5,1.2
499,6/3/2020 3:00,0,1.01,1.2
500,6/3/2020 3:30,0,1.01,1.2
501,6/3/2020 4:00,0,0.5,1.2
502,6/3/2020 4:30,0,1.01,1.2
503,6/3/2020 5:00,0,1.51,1.2
504,6/3/2020 5:30,0.5,2.01,3.7
505,6/3/2020 6:00,0,1.51,16.2
506,6/3/2020 6:30,0.5,3.02,63.7
507,6/3/2020 7:00,0.5,3.02,121.2
508,6/3/2020 7:30,1.01,3.02,283.7
509,6/3/2020 8:00,1.01,3.52,423.7
510,6/3/2020 8:30,2.01,4.53,646.2
511,6/3/2020 9:00,2.01,5.03,858.7
512,6/3/2020 9:30,2.01,5.54,1191.2
513,6/3/2020 10:00,2.52,8.05,1491.2
514,6/3/2020 10:30,2.01,7.05,1531.2
515,6/3/2020 11:00,2.52,6.04,1638.7
516,6/3/2020 11:30,2.52,6.04,1738.7
517,6/3/2020 12:00,2.01,6.04,1808.7
518,6/3/2020 12:30,2.01,5.54,1856.2
519,6/3/2020 13:00,1.51,5.03,1896.2
520,6/3/2020 13:30,1.01,4.03,1878.7
521,6/3/2020 14:00,1.01,3.52,1848.7
522,6/3/2020 14:30,0.5,3.02,1803.7
523,6/3/2020 15:00,0,2.52,1733.7
524,6/3/2020 15:30,0,2.01,1638.7
525,6/3/2020 16:00,0,2.52,1498.7
526,6/3/2020 16:30,0.5,3.02,1353.7
527,6/3/2020 17:00,0,2.52,1218.7
528,6/3/2020 17:30,0,2.52,1043.7
529,6/3/2020 18:00,0,2.52,851.2
530,6/3/2020 18:30,0,3.02,661.2
531,6/3/2020 19:00,0,2.01,426.2
532,6/3/2020 19:30,0.5,4.03,288.7
533,6/3/2020 20:00,0,3.52,61.2
534,6/3/2020 20:30,0,1.51,28.7
535,6/3/2020 21:00,0,0.5,1.2
536,6/3/2020 21:30,0,0,1.2
537,6/3/2020 22:00,0,0,1.2
538,6/3/2020 22:30,0,0,1.2
539,6/3/2020 23:00,0,0,1.2
540,6/3/2020 23:30,0,0,1.2
541,6/4/2020 0:00,0,0,1.2
542,6/4/2020 0:30,0,0,1.2
543,6/4/2020 1:00,0,0,1.2
544,6/4/2020 1:30,0,0,1.2
545,6/4/2020 2:00,0,0,1.2
546,6/4/2020 2:30,0,0,1.2
547,6/4/2020 3:00,0,0,1.2
548,6/4/2020 3:30,0,0,1.2
549,6/4/2020 4:00,0,0.5,1.2
550,6/4/2020 4:30,0,1.51,1.2
551,6/4/2020 5:00,0,0.5,1.2
552,6/4/2020 5:30,0,0.5,1.2
553,6/4/2020 6:00,0,1.01,6.2
554,6/4/2020 6:30,0,1.01,61.2
555,6/4/2020 7:00,0,0.5,123.7
556,6/4/2020 7:30,0,2.52,178.7
557,6/4/2020 8:00,0,1.51,246.2
558,6/4/2020 8:30,0.5,4.53,946.2
559,6/4/2020 9:00,0.5,2.52,1031.2
560,6/4/2020 9:30,0.5,3.02,1191.2
561,6/4/2020 10:00,0,3.02,1348.7
562,6/4/2020 10:30,0.5,3.02,1491.2
563,6/4/2020 11:00,0.5,3.52,1603.7
564,6/4/2020 11:30,0.5,3.52,1758.7
565,6/4/2020 12:00,0.5,3.02,1938.7
566,6/4/2020 12:30,0.5,3.52,1906.2
567,6/4/2020 13:00,1.01,4.03,1891.2
568,6/4/2020 13:30,1.01,3.52,1903.7
