doy,period,pond,time,secchi,adj_secchi,chl,phyco,chlfil,phycofil,dosat_before,dosat_after,tp,srp,tn,nox,nhx
153,BASE,E,950,2,NA,535.95,277.46,NA,NA,96.9,96.8,21.85,0,0.0964685,0.0390415,NA
153,BASE,F,1010,2.05,NA,638.73,120.62,NA,NA,96.9,96.8,24.15,0,0.27589,0,NA
154,BASE,A,900,1.6,NA,728.2,171.07,NA,NA,97.3,96.3,NA,NA,NA,NA,NA
154,BASE,B,910,1.75,NA,695.91,102.89,NA,NA,97.3,96.3,NA,NA,NA,NA,NA
154,BASE,C,920,1.8,NA,439.77,114.98,NA,NA,97.3,96.3,NA,NA,NA,NA,NA
154,BASE,D,925,1.8,NA,357.91,92.99,NA,NA,97.3,96.3,NA,NA,NA,NA,NA
154,BASE,E,932,1.9,NA,771.06,205.09,NA,NA,97.3,96.3,NA,NA,NA,NA,NA
154,BASE,F,940,2,Na,944.33,217.18,NA,NA,97.3,96.3,NA,NA,NA,NA,NA
155,BASE,A,900,1.5,NA,1163.3,186.67,NA,NA,99.9,96.2,23.75,0,0.19158,0.08038,0.05675
155,BASE,B,910,1.7,NA,1137.6,167.4,NA,NA,99.9,96.2,48.75,0,0.25356,0.052263,0.0552
155,BASE,C,920,1.75,NA,380.76,85.15,NA,NA,99.9,96.2,25.2,0,0.29844,0.0708495,0.0572
155,BASE,D,930,1.85,NA,466.48,99.38,NA,NA,99.9,96.2,26.1,0,0.11208,NA,0.05375
155,BASE,E,945,1.9,NA,738.77,198.01,NA,NA,99.9,96.2,30.4,0,0.21492,0.16279,0.0602
155,BASE,F,1000,2,NA,1104.2,208.66,NA,NA,99.9,96.2,43.5,0,0.2789,0,0.0813
156,BASE,A,900,1.3,NA,845.3,211.48,NA,NA,91.4,95.9,NA,NA,NA,NA,NA
156,BASE,B,910,1.6,NA,701.59,155.4,NA,NA,91.4,95.9,NA,NA,NA,NA,NA
156,BASE,C,920,1.95,NA,287.52,50.38,NA,NA,91.4,95.9,NA,NA,NA,NA,NA
156,BASE,D,925,1.85,NA,354.15,46.87,NA,NA,91.4,95.9,NA,NA,NA,NA,NA
156,BASE,E,935,1.9,NA,783.45,237.04,NA,NA,91.4,95.9,NA,NA,NA,NA,NA
156,BASE,F,940,2,NA,692.05,217.87,NA,NA,91.4,95.9,NA,NA,NA,NA,NA
157,BASE,A,900,1.55,NA,503.55,199.38,NA,NA,96.4,96.1,30.2,0,0.307475,0.0336375,NA
157,BASE,B,915,1.85,NA,322.77,85.15,NA,NA,96.4,96.1,34.85,0,0.419075,0.142006,NA
157,BASE,C,930,1.9,NA,264.67,54.64,NA,NA,96.4,96.1,22.05,0,0.32722,0.0582105,NA
157,BASE,D,940,1.8,NA,548.34,119.24,NA,NA,96.4,96.1,26.75,0,0.336475,0.1036385,NA
157,BASE,E,950,1.85,NA,574.95,181.65,NA,NA,96.4,96.1,25.35,0,0.215955,0.074227,NA
157,BASE,F,1000,2,NA,510.25,190.17,NA,NA,96.4,96.1,32.3,0,0.47593,0.20667,NA
158,BASE,A,1052,1.5,NA,601.66,198.69,NA,NA,96,96.8,NA,NA,NA,NA,NA
158,BASE,B,1046,1.8,NA,491.26,112.16,NA,NA,96,96.8,NA,NA,NA,NA,NA
158,BASE,C,1040,1.9,NA,406.45,119.93,NA,NA,96,96.8,NA,NA,NA,NA,NA
158,BASE,D,1035,1.8,NA,693.06,157.33,NA,NA,96,96.8,NA,NA,NA,NA,NA
158,BASE,E,1029,1.85,NA,1083.3,288.11,NA,NA,96,96.8,NA,NA,NA,NA,NA
158,BASE,F,1024,2,NA,973.88,422.2,NA,NA,96,96.8,NA,NA,NA,NA,NA
159,BASE,A,1042,1.6,NA,614.05,212.16,NA,NA,96.7,96.4,NA,NA,NA,NA,NA
159,BASE,B,1046,1.9,NA,553.11,136.98,NA,NA,96.7,96.4,NA,NA,NA,NA,NA
159,BASE,C,1051,1.9,NA,570.27,111.41,NA,NA,96.7,96.4,NA,NA,NA,NA,NA
159,BASE,D,1056,1.8,NA,498.87,78.76,NA,NA,96.7,96.4,NA,NA,NA,NA,NA
159,BASE,E,1103,1.85,NA,1162.3,378.21,NA,NA,96.7,96.4,NA,NA,NA,NA,NA
159,BASE,F,1109,1.85,NA,732.98,368.32,NA,NA,96.7,96.4,NA,NA,NA,NA,NA
160,BASE,A,920,1.7,NA,561.64,122.75,NA,NA,96.3,96.1,28.3,0,0.30486,0.160735,NA
160,BASE,B,935,1.9,NA,353.13,48.25,NA,NA,96.3,96.1,29.75,0,0.227695,0.124625,NA
160,BASE,C,950,1.7,NA,382.69,57.53,NA,NA,96.3,96.1,23.3,0,0.1975105,0.1706055,NA
160,BASE,D,1000,1.73,NA,534.02,114.3,NA,NA,96.3,96.1,33.25,0,0.222515,0.22512,NA
160,BASE,E,1020,1.6,NA,485.47,166.8,NA,NA,96.3,96.1,28.6,0,0.17527,0.161965,NA
160,BASE,F,1040,1.95,NA,452.16,215.74,NA,NA,96.3,96.1,29.85,0,0.29276,0.178395,NA
161,BASE,A,905,1.65,NA,749.23,204.4,NA,NA,95.3,95.3,NA,NA,NA,NA,NA
161,BASE,B,911,1.6,NA,555.95,114.98,NA,NA,95.3,95.3,NA,NA,NA,NA,NA
161,BASE,C,919,1.85,NA,668.28,152.58,NA,NA,95.3,95.3,NA,NA,NA,NA,NA
161,BASE,D,925,1.6,NA,731.15,193.75,NA,NA,95.3,95.3,NA,NA,NA,NA,NA
161,BASE,E,935,1.7,NA,1116.6,361.92,NA,NA,95.3,95.3,NA,NA,NA,NA,NA
161,BASE,F,945,1.9,NA,788.23,364.74,NA,NA,95.3,95.3,NA,NA,NA,NA,NA
162,BASE,A,910,1.75,NA,1059.5,244.12,NA,NA,94.8,95.3,31.85,0,0.269645,0.05775,0.056
162,BASE,B,920,1.9,NA,813.01,227.77,NA,NA,94.8,95.3,32.55,0,0.318785,0.125505,0.0598
162,BASE,C,930,1.83,NA,1649.7,360.48,NA,NA,94.8,95.3,27.7,0,0.29849,0.04905,0.0384
162,BASE,D,945,1.7,NA,782.54,174.57,NA,NA,94.8,95.3,35.15,4.75,0.4356,0.19645,0.04905
162,BASE,E,1010,1.7,NA,1696.4,491.75,NA,NA,94.8,95.3,37.85,1.9,0.3423,0.14798,0.05955
162,BASE,F,1030,1.8,NA,1849.6,429.35,NA,NA,94.8,95.3,37.65,3.2,0.343975,0.02192,0.06635
163,BASE,A,900,1.8,NA,714.9,340.62,NA,NA,98.7,97,NA,NA,NA,NA,NA
163,BASE,B,910,2,NA,562.66,181.65,NA,NA,98.7,97,NA,NA,NA,NA,NA
163,BASE,C,920,1.83,NA,408.38,121.37,NA,NA,98.7,97,NA,NA,NA,NA,NA
163,BASE,D,930,1.66,NA,540.72,112.16,NA,NA,98.7,97,NA,NA,NA,NA,NA
163,BASE,E,940,1.78,NA,642.59,281.72,NA,NA,98.7,97,NA,NA,NA,NA,NA
163,BASE,F,950,1.91,NA,452.16,229.9,NA,NA,98.7,97,NA,NA,NA,NA,NA
164,BASE,A,910,1.6,NA,817.78,378.21,NA,NA,95.4,97.5,37.65,0.25,0.226775,0.1974,NA
164,BASE,B,920,1.8,NA,719.67,249.83,NA,NA,95.4,97.5,52.95,0,0.43178,0.136645,NA
164,BASE,C,930,1.8,NA,705.45,220.69,NA,NA,95.4,97.5,25.15,0,0.505695,0.02695,NA
164,BASE,D,940,1.64,NA,446.47,126.32,NA,NA,95.4,97.5,34.5,6.05,0.498165,0.1807,NA
164,BASE,E,950,1.75,NA,553.11,159.66,NA,NA,95.4,97.5,29.95,3.05,0.51737,0.088015,NA
164,BASE,F,1000,1.9,NA,438.85,118.49,NA,NA,95.4,97.5,41.7,4,0.49472,0.150625,NA
165,BASE,A,1044,1.6,NA,1527.9,546.39,NA,NA,97.7,97.4,NA,NA,NA,NA,NA
165,BASE,B,1037,1.85,NA,782.54,175.26,NA,NA,97.7,97.4,NA,NA,NA,NA,NA
165,BASE,C,1030,1.8,NA,1106.2,305.15,NA,NA,97.7,97.4,NA,NA,NA,NA,NA
165,BASE,D,1023,1.65,NA,806.3,227.77,NA,NA,97.7,97.4,NA,NA,NA,NA,NA
165,BASE,E,1016,1.75,NA,805.39,260.41,NA,NA,97.7,97.4,NA,NA,NA,NA,NA
165,BASE,F,1013,1.9,NA,593.02,279.51,NA,NA,97.7,97.4,NA,NA,NA,NA,NA
166,BASE,A,1108,1.6,NA,1468.9,698.28,NA,NA,97.5,97.3,NA,NA,NA,NA,NA
166,BASE,B,1105,1.7,NA,576.8,131.27,NA,NA,97.5,97.3,NA,NA,NA,NA,NA
166,BASE,C,1101,1.8,NA,751.05,224.95,NA,NA,97.5,97.3,NA,NA,NA,NA,NA
166,BASE,D,1058,1.6,NA,736.84,246.94,NA,NA,97.5,97.3,NA,NA,NA,NA,NA
166,BASE,E,1054,1.7,NA,754,310.1,NA,NA,97.5,97.3,NA,NA,NA,NA,NA
166,BASE,F,1051,1.75,NA,512.18,117.11,NA,NA,97.5,97.3,NA,NA,NA,NA,NA
167,BASE,A,910,1.5,NA,1835.3,829.55,NA,NA,97.2,97.4,42.5,4.2,0.25586,0.180085,NA
167,BASE,B,920,1.8,NA,607.34,215.05,NA,NA,97.2,97.4,27.1,0,0.22832,0.21877,NA
167,BASE,C,930,1.75,NA,748.21,218.21,NA,NA,97.2,97.4,23.55,0,0.17398,0.133875,NA
167,BASE,D,940,1.6,NA,549.25,143.37,NA,NA,97.2,97.4,38.45,8.65,0.31178,0.0832,NA
167,BASE,E,953,1.7,NA,536.86,148.32,NA,NA,97.2,97.4,37.75,4.55,0.0880875,0.131825,NA
167,BASE,F,1010,1.86,NA,371.31,119.24,NA,NA,97.2,97.4,35.9,4.45,0.1697015,0.17101,NA
168,BASE,A,900,1.44,NA,1003.3,484.67,NA,NA,97.2,97.3,NA,NA,NA,NA,NA
168,BASE,B,910,1.9,NA,789.14,195.19,NA,NA,97.2,97.3,NA,NA,NA,NA,NA
168,BASE,C,920,1.74,NA,606.43,160.41,NA,NA,97.2,97.3,NA,NA,NA,NA,NA
168,BASE,D,930,1.59,NA,499.79,166.05,NA,NA,97.2,97.3,NA,NA,NA,NA,NA
168,BASE,E,940,1.68,NA,657.82,194.43,NA,NA,97.2,97.3,NA,NA,NA,NA,NA
168,BASE,F,950,1.85,NA,523.55,163.23,NA,NA,97.2,97.3,NA,NA,NA,NA,NA
169,BASE,A,900,1.45,NA,1008.1,370.45,NA,NA,96.4,96.9,NA,1.65,0.42235,0.20842,0
169,BASE,B,910,1.8,NA,570.27,179.52,NA,NA,96.4,96.9,NA,0,0.473505,0.181835,0.00435
169,BASE,C,920,1.55,NA,638.73,190.93,NA,NA,96.4,96.9,NA,0,0.48582,0.06975,0.00095
169,BASE,D,930,1.66,NA,562.66,168.93,NA,NA,96.4,96.9,NA,6.2,0.615215,0.12176,0.0027
169,BASE,E,945,1.67,NA,677.83,172.44,NA,NA,96.4,96.9,NA,4.9,0.65208,0.091285,0.0009
169,BASE,F,1000,1.84,NA,476.02,122.06,NA,NA,96.4,96.9,NA,3.6,0.513635,0.254815,0.01175
170,BASE,A,900,1.45,NA,1654.5,502.41,NA,NA,96.8,96.5,NA,NA,NA,NA,NA
170,BASE,B,910,1.75,NA,640.66,203.64,NA,NA,96.8,96.5,NA,NA,NA,NA,NA
170,BASE,C,920,1.73,NA,457.84,117.8,NA,NA,96.8,96.5,NA,NA,NA,NA,NA
170,BASE,D,930,1.55,NA,911.02,275.33,NA,NA,96.8,96.5,NA,NA,NA,NA,NA
170,BASE,E,940,1.65,NA,1148.9,376.08,NA,NA,96.8,96.5,NA,NA,NA,NA,NA
170,BASE,F,950,1.83,NA,618.82,190.17,NA,NA,96.8,96.5,NA,NA,NA,NA,NA
171,BASE,A,900,1.5,NA,3507.9,1368.8,NA,NA,96.2,96.6,40.2,1.6,0.212545,0.001047,NA
171,BASE,B,920,1.65,NA,809.15,297.32,NA,NA,96.2,96.6,29.8,0,0.160687,0.045202,NA
171,BASE,C,930,1.74,NA,524.57,142.68,NA,NA,96.2,96.6,20.3,0,0.157955,0,NA
171,BASE,D,940,1.45,NA,1210.9,332.85,NA,NA,96.2,96.6,43.45,4.45,0.25529,0.020601,NA
171,BASE,E,950,1.64,NA,1397.5,395.95,NA,NA,96.2,96.6,42.5,6.7,0.26938,0.1084785,NA
171,BASE,F,1000,1.6,NA,684.43,228.52,NA,NA,96.2,96.6,40.8,4.05,0.175025,0.078732,NA
172,BASE,A,1140,1.45,NA,4171.4,1044.5,NA,NA,96.2,96.4,NA,NA,NA,NA,NA
172,BASE,B,1134,1.6,NA,1146.1,217.87,NA,NA,96.2,96.4,NA,NA,NA,NA,NA
172,BASE,C,1127,1.7,NA,714.9,157.53,NA,NA,96.2,96.4,NA,NA,NA,NA,NA
172,BASE,D,1120,1.55,NA,1320.4,428.59,NA,NA,96.2,96.4,NA,NA,NA,NA,NA
172,BASE,E,1114,1.65,NA,1832.4,500.96,NA,NA,96.2,96.4,NA,NA,NA,NA,NA
172,BASE,F,1107,1.6,NA,1288.9,306.6,NA,NA,96.2,96.4,NA,NA,NA,NA,NA
173,BASE,A,925,1.4,NA,1494.5,547.84,NA,NA,97.6,96.2,NA,NA,NA,NA,NA
173,BASE,B,930,1.55,NA,783.45,198.69,NA,NA,97.6,96.2,NA,NA,NA,NA,NA
173,BASE,C,935,1.7,NA,740.59,281.72,NA,NA,97.6,96.2,NA,NA,NA,NA,NA
173,BASE,D,941,1.35,NA,2400.8,681.92,NA,NA,97.6,96.2,NA,NA,NA,NA,NA
173,BASE,E,946,1.45,NA,2344.6,687.63,NA,NA,97.6,96.2,NA,NA,NA,NA,NA
173,BASE,F,952,1.8,NA,1608.8,523.71,NA,NA,97.6,96.2,NA,NA,NA,NA,NA
174,BASE,A,900,1.3,NA,2146.6,486.8,NA,NA,94.9,95.9,37.4,0,0.13582,0.131715,NA
174,BASE,B,920,1.6,NA,1525.4,256.91,NA,NA,94.9,95.9,29.2,0,0.364065,0.223295,NA
174,BASE,C,940,1.7,NA,811.99,166.8,NA,NA,94.9,95.9,26.9,0,0.24622,0.238355,NA
174,BASE,D,950,1.35,NA,2648.3,769.97,NA,NA,94.9,95.9,54,10.75,0.24595,0.109315,NA
174,BASE,E,1000,1.5,NA,1306,302.34,NA,NA,94.9,95.9,68.4,12.2,0.33068,0.19829,NA
174,BASE,F,1020,1.5,NA,2761.6,375.4,NA,NA,94.9,95.9,49.35,4.05,0.2327,0.04675,NA
175,BASE,A,900,1.4,NA,2444.6,1203.3,331.3,97.94,95.5,96.3,41.6,1.3,0.27924,0.070822,NA
175,BASE,B,910,1.75,NA,592.1,197.32,379.84,64.6,95.5,96.3,24.4,0,0.280205,0.086029,NA
175,BASE,C,920,1.74,NA,432.15,127.77,373.14,124.19,95.5,96.3,21.3,0,0.240485,0,NA
175,BASE,D,930,1.59,NA,1318.4,474.02,404.62,93.68,95.5,96.3,53.3,12.2,0.29905,0.004355,NA
175,BASE,E,940,1.67,NA,649.54,210.03,403.61,152.58,95.5,96.3,49.55,14.95,0.37574,0,NA
175,BASE,F,950,1.6,NA,918.63,329.28,354.15,39.04,95.5,96.3,42.25,8.2,0.27514,0,NA
176,PULSE1,A,900,1.5,NA,2723.6,1146.7,420.77,84.47,96.3,96.4,48.95,5.9,0.290575,0.244595,0
176,PULSE1,B,900,1.7,NA,606.43,180.27,384.62,95.27,96.3,96.4,23.85,0,0.38354,0.14386,0.0053
176,PULSE1,C,910,1.73,NA,441.7,110.03,319.62,71,96.3,96.4,61.9,0,0.35315,0.120063,0.00325
176,PULSE1,D,920,1.5,NA,1110.8,316.49,340.84,55.4,96.3,96.4,52.45,11.75,0.454735,0.138795,0
176,PULSE1,E,930,1.65,NA,587.34,154.02,331.3,27.7,96.3,96.4,49.85,14.6,0.39483,0.11305,0.0053
176,PULSE1,F,940,1.74,NA,804.37,251.2,281.73,65.29,96.3,96.4,48.65,8.4,0.401775,0.050831,0
177,PULSE1,A,900,NA,NA,1306.3,476.15,535.03,185.22,97,96.5,42.25,0.25,0.424785,0,NA
177,PULSE1,B,910,NA,NA,478.87,124.19,301.74,101.51,97,96.5,24.85,0,0.350015,0.016227,NA
177,PULSE1,C,920,NA,NA,301.74,18.49,237.96,9.21,97,96.5,19.15,0,0.410105,0.1259,NA
177,PULSE1,D,930,NA,NA,1368.9,434.98,426.46,37.59,97,96.5,45.9,5.5,0.439745,0.0818,NA
177,PULSE1,E,940,NA,NA,1203.3,337.04,364.61,43.3,97,96.5,47.85,12.2,0.438745,0.079145,NA
177,PULSE1,F,950,NA,NA,497.86,107.9,262.74,41.17,97,96.5,41.75,4.4,0.591835,0,NA
178,PULSE1,A,900,1.35,NA,2584.5,645.77,620.65,232.03,96,96.2,27.95,0.85,0.17579,0,NA
178,PULSE1,B,910,1.55,NA,2412.3,424.33,395.99,95.12,96,96.2,27.6,0,0.30683,0.0947515,NA
178,PULSE1,C,920,1.73,NA,722.52,167.49,584.49,146.19,96,96.2,24.2,0,0.189075,0.1098595,NA
178,PULSE1,D,930,1.15,NA,3289,755.05,995.72,266.8,96,96.2,56.25,5.95,0.553345,0.00832535,NA
178,PULSE1,E,940,1.25,NA,2090.4,491.07,1335.6,254.02,96,96.2,78.2,27.25,0.33907,0.0525395,NA
178,PULSE1,F,950,1.48,NA,2395.1,393.81,820.6,163.23,96,96.2,58.15,5.4,0.339415,0.08355,NA
179,PULSE1,A,1217,1.3,NA,2822.5,706.05,NA,NA,94.5,96.1,NA,NA,NA,NA,NA
179,PULSE1,B,1215,1.55,NA,881.56,197.32,NA,NA,94.5,96.1,NA,NA,NA,NA,NA
179,PULSE1,C,1212,1.7,NA,512.18,130.58,NA,NA,94.5,96.1,NA,NA,NA,NA,NA
179,PULSE1,D,1209,1.5,NA,2656.9,728.8,NA,NA,94.5,96.1,NA,NA,NA,NA,NA
179,PULSE1,E,1207,1.4,NA,1180.4,352.71,NA,NA,94.5,96.1,NA,NA,NA,NA,NA
179,PULSE1,F,1204,1.35,NA,1559.4,405.91,NA,NA,94.5,96.1,NA,NA,NA,NA,NA
180,PULSE1,A,1049,1.35,NA,5341.4,2924.5,NA,NA,97.2,95.6,NA,NA,NA,NA,NA
180,PULSE1,B,1044,1.5,NA,997.65,239.86,NA,NA,97.2,95.6,NA,NA,NA,NA,NA
180,PULSE1,C,1039,1.8,NA,543.56,113.54,NA,NA,97.2,95.6,NA,NA,NA,NA,NA
180,PULSE1,D,1034,1.4,NA,2500.7,773.73,NA,NA,97.2,95.6,NA,NA,NA,NA,NA
180,PULSE1,E,1028,1.45,NA,2199.9,698.28,NA,NA,97.2,95.6,NA,NA,NA,NA,NA
180,PULSE1,F,1022,1.55,NA,2315.2,576.2,NA,NA,97.2,95.6,NA,NA,NA,NA,NA
181,PULSE1,A,1040,1.25,NA,3005.3,1087.8,641.67,68.87,95.3,95.8,50.65,0,0.30243,0.06865,NA
181,PULSE1,B,1026,1.45,NA,794.14,199.3,408.38,110.72,95.3,95.8,28.65,0,0.42055,0.14873,NA
181,PULSE1,C,1013,1.7,NA,450.33,120.62,339.83,63.16,95.3,95.8,22.65,0,0.25665,0.07615,NA
181,PULSE1,D,1001,1.45,NA,2338,766.39,448.4,75.26,95.3,95.8,45.55,4.7,0.286835,0.198005,NA
181,PULSE1,E,946,1.5,NA,1367,489.62,417.93,56.77,95.3,95.8,53.6,9,0.35879,0.24176,NA
181,PULSE1,F,933,1.5,NA,968.2,254.2,357.93,62.47,95.3,95.8,46.95,2.8,0.347675,0.0531,NA
182,PULSE1,A,900,1.28,NA,1557.4,483.23,454.09,68.87,99.5,96,NA,NA,NA,NA,NA
182,PULSE1,B,920,1.43,NA,607.34,254.78,337.9,119.93,99.5,96,NA,NA,NA,NA,NA
