Software Version:,1.06 Rev 101,,,,,,,,,,,,,,,,,,
Date:,02/07/2022 15:11:47,,,,,,,,,,,,,,,,,,
===============,,,,,,,,,,,,,,,,,,,
Analyzer,Protocol Name,Protocol Date,Protocol Date End,Protocol Type,Vial Size,Operator,Comments,Performed By Certified FSE,,,,,,,,,,,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,02/03/2022 20:35:33,02/03/2022 20:57:42,28500,547,29000,1,4.6,,,,,,,,,,,
2,,02/03/2022 20:57:42,02/03/2022 20:59:42,28200,554,28800,1,4.6,,,,,,,,,,,
3,,02/03/2022 20:59:42,02/03/2022 21:01:41,28400,561,29000,1,4.6,,,,,,,,,,,
4,,02/03/2022 21:01:41,02/03/2022 21:03:42,28300,574,28900,1,4.6,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
22,,Sample,02/03/2022 21:03:56,02/03/2022 21:32:05,11,False,True,False,240,25900,115,0.45,586,9.5,1.62,26500,115,0.44,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,02/03/2022 21:03:56,02/03/2022 21:26:05,25900,586,26500,1,4.1,,,,,,,,,,,
2,,02/03/2022 21:26:05,02/03/2022 21:28:05,25800,577,26400,1,4.1,,,,,,,,,,,
3,,02/03/2022 21:28:05,02/03/2022 21:30:05,26000,586,26600,1,4.1,,,,,,,,,,,
4,,02/03/2022 21:30:05,02/03/2022 21:32:05,25800,596,26400,1,4.1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
23,,Sample,02/03/2022 21:32:19,02/03/2022 22:00:28,12,False,True,False,240,14500,< 0.03,< 0.03,511,4.04,0.79,15000,0,0,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,02/03/2022 21:32:19,02/03/2022 21:54:28,14500,524,15000,1,2.4,,,,,,,,,,,
2,,02/03/2022 21:54:28,02/03/2022 21:56:28,14500,509,15000,1,2.4,,,,,,,,,,,
3,,02/03/2022 21:56:28,02/03/2022 21:58:28,14500,509,15000,1,2.4,,,,,,,,,,,
4,,02/03/2022 21:58:28,02/03/2022 22:00:28,14500,516,15000,1,2.4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
24,,Sample,02/03/2022 22:00:41,02/03/2022 22:28:47,13,False,True,False,240,20600,57.7,0.28,552,4.93,0.89,21100,115,0.55,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,02/03/2022 22:00:41,02/03/2022 22:22:47,20600,541,21100,1,3.3,,,,,,,,,,,
2,,02/03/2022 22:22:47,02/03/2022 22:24:47,20500,546,21000,1,3.3,,,,,,,,,,,
3,,02/03/2022 22:24:47,02/03/2022 22:26:47,20600,555,21200,1,3.3,,,,,,,,,,,
4,,02/03/2022 22:26:47,02/03/2022 22:28:47,20600,554,21200,1,3.3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
25,,Sample,02/03/2022 22:29:01,02/03/2022 22:57:09,14,False,True,False,240,19400,57.7,0.3,545,8,1.47,20000,57.7,0.29,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,02/03/2022 22:29:01,02/03/2022 22:51:09,19500,530,20000,1,3.1,,,,,,,,,,,
2,,02/03/2022 22:51:09,02/03/2022 22:53:08,19400,537,19900,1,3.1,,,,,,,,,,,
3,,02/03/2022 22:53:08,02/03/2022 22:55:08,19500,545,20000,1,3.1,,,,,,,,,,,
4,,02/03/2022 22:55:08,02/03/2022 22:57:09,19400,553,20000,1,3.1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
26,,Sample,02/03/2022 22:57:22,02/03/2022 23:25:29,15,False,True,False,240,32400,153,0.47,456,5.86,1.28,32900,153,0.46,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,02/03/2022 22:57:22,02/03/2022 23:19:29,32400,459,32900,1,5.3,,,,,,,,,,,
2,,02/03/2022 23:19:29,02/03/2022 23:21:29,32200,452,32700,1,5.3,,,,,,,,,,,
3,,02/03/2022 23:21:29,02/03/2022 23:23:29,32400,454,32900,1,5.3,,,,,,,,,,,
4,,02/03/2022 23:23:29,02/03/2022 23:25:29,32500,463,33000,1,5.3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
27,,Sample,02/03/2022 23:25:43,02/03/2022 23:53:53,16,False,True,False,240,24700,100,0.4,524,4.58,0.87,25200,100,0.4,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,02/03/2022 23:25:43,02/03/2022 23:47:53,24600,532,25100,1,3.9,,,,,,,,,,,
2,,02/03/2022 23:47:53,02/03/2022 23:49:52,24700,520,25200,1,3.9,,,,,,,,,,,
3,,02/03/2022 23:49:52,02/03/2022 23:51:53,24800,523,25300,1,3.9,,,,,,,,,,,
4,,02/03/2022 23:51:53,02/03/2022 23:53:53,24600,529,25100,1,3.9,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Blank,,Blank,02/03/2022 23:54:06,02/04/2022 00:22:15,17,False,True,False,240,243,5.13,2.11,485,7.77,1.6,728,2.65,0.36,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,02/03/2022 23:54:06,02/04/2022 00:16:15,232,485,717,1,0,,,,,,,,,,,
2,,02/04/2022 00:16:15,02/04/2022 00:18:15,247,479,726,1,0,,,,,,,,,,,
3,,02/04/2022 00:18:15,02/04/2022 00:20:15,244,483,727,1,0,,,,,,,,,,,
4,,02/04/2022 00:20:15,02/04/2022 00:22:15,237,494,731,1,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
29,,Sample,02/04/2022 00:22:29,02/04/2022 00:50:47,18,False,True,False,240,23000,57.7,0.25,480,7.37,1.54,23500,57.7,0.25,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,02/04/2022 00:22:29,02/04/2022 00:44:47,22900,494,23400,1,3.7,,,,,,,,,,,
2,,02/04/2022 00:44:47,02/04/2022 00:46:48,23000,488,23500,1,3.7,,,,,,,,,,,
3,,02/04/2022 00:46:48,02/04/2022 00:48:47,23000,477,23500,1,3.7,,,,,,,,,,,
4,,02/04/2022 00:48:47,02/04/2022 00:50:47,22900,474,23400,1,3.7,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
30,,Sample,02/04/2022 00:51:01,02/04/2022 01:19:10,19,False,True,False,240,22700,57.7,0.25,520,16.5,3.18,23200,57.7,0.25,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,02/04/2022 00:51:01,02/04/2022 01:13:10,22500,552,23100,1,3.6,,,,,,,,,,,
2,,02/04/2022 01:13:10,02/04/2022 01:15:10,22800,538,23300,1,3.6,,,,,,,,,,,
3,,02/04/2022 01:15:10,02/04/2022 01:17:10,22700,515,23200,1,3.6,,,,,,,,,,,
4,,02/04/2022 01:17:10,02/04/2022 01:19:10,22700,506,23200,1,3.6,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
31,,Sample,02/04/2022 01:19:26,02/04/2022 01:47:34,20,False,True,False,240,29000,57.7,0.2,558,11.6,2.08,29600,100,0.34,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,02/04/2022 01:19:26,02/04/2022 01:41:34,29000,582,29600,1,4.7,,,,,,,,,,,
2,,02/04/2022 01:41:34,02/04/2022 01:43:34,29000,569,29600,1,4.7,,,,,,,,,,,
3,,02/04/2022 01:43:34,02/04/2022 01:45:35,29100,560,29700,1,4.7,,,,,,,,,,,
4,,02/04/2022 01:45:35,02/04/2022 01:47:34,29000,546,29500,1,4.7,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
32,,Sample,02/04/2022 01:47:48,02/04/2022 02:15:58,21,False,True,False,240,20800,57.7,0.28,485,3.61,0.74,21300,57.7,0.27,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,02/04/2022 01:47:48,02/04/2022 02:09:58,20800,504,21300,1,3.3,,,,,,,,,,,
2,,02/04/2022 02:09:58,02/04/2022 02:11:58,20900,489,21400,1,3.3,,,,,,,,,,,
3,,02/04/2022 02:11:58,02/04/2022 02:13:58,20800,482,21300,1,3.3,,,,,,,,,,,
4,,02/04/2022 02:13:58,02/04/2022 02:15:58,20800,484,21300,1,3.3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
33,,Sample,02/04/2022 02:16:12,02/04/2022 02:44:20,22,False,True,False,240,15800,57.7,0.37,483,3.61,0.75,16300,57.7,0.35,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,02/04/2022 02:16:12,02/04/2022 02:38:19,15800,500,16300,1,2.6,,,,,,,,,,,
2,,02/04/2022 02:38:19,02/04/2022 02:40:20,15800,484,16300,1,2.6,,,,,,,,,,,
3,,02/04/2022 02:40:20,02/04/2022 02:42:19,15800,479,16300,1,2.6,,,,,,,,,,,
4,,02/04/2022 02:42:19,02/04/2022 02:44:20,15700,486,16200,1,2.6,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
34,,Sample,02/04/2022 02:44:33,02/04/2022 03:12:40,23,False,True,False,240,21300,57.7,0.27,518,6.43,1.24,21800,57.7,0.27,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,02/04/2022 02:44:33,02/04/2022 03:06:40,21300,528,21800,1,3.4,,,,,,,,,,,
2,,02/04/2022 03:06:40,02/04/2022 03:08:40,21300,515,21800,1,3.4,,,,,,,,,,,
3,,02/04/2022 03:08:40,02/04/2022 03:10:40,21300,513,21800,1,3.4,,,,,,,,,,,
4,,02/04/2022 03:10:40,02/04/2022 03:12:40,21200,525,21700,1,3.4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
35,,Sample,02/04/2022 03:12:53,02/04/2022 03:41:02,24,False,True,False,240,31500,57.7,0.18,483,5.03,1.04,32000,57.7,0.18,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,02/04/2022 03:12:53,02/04/2022 03:35:02,31400,498,31900,1,5.1,,,,,,,,,,,
2,,02/04/2022 03:35:02,02/04/2022 03:37:01,31500,484,32000,1,5.1,,,,,,,,,,,
3,,02/04/2022 03:37:01,02/04/2022 03:39:01,31500,478,32000,1,5.1,,,,,,,,,,,
4,,02/04/2022 03:39:01,02/04/2022 03:41:02,31400,488,31900,1,5.1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
36,,Sample,02/04/2022 03:41:15,02/04/2022 04:09:26,25,False,True,False,240,29100,57.7,0.2,523,6.93,1.32,29600,57.7,0.19,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,02/04/2022 03:41:15,02/04/2022 04:03:26,29200,530,29700,1,4.7,,,,,,,,,,,
2,,02/04/2022 04:03:26,02/04/2022 04:05:26,29100,519,29600,1,4.7,,,,,,,,,,,
3,,02/04/2022 04:05:26,02/04/2022 04:07:26,29200,519,29700,1,4.7,,,,,,,,,,,
4,,02/04/2022 04:07:26,02/04/2022 04:09:26,29100,531,29600,1,4.7,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
37,,Sample,02/04/2022 04:09:39,02/04/2022 04:37:49,26,False,True,False,240,18800,57.7,0.31,468,4.73,1.01,19300,57.7,0.3,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,02/04/2022 04:09:39,02/04/2022 04:31:49,18700,476,19200,1,3.1,,,,,,,,,,,
2,,02/04/2022 04:31:49,02/04/2022 04:33:49,18900,470,19400,1,3.1,,,,,,,,,,,
3,,02/04/2022 04:33:49,02/04/2022 04:35:49,18800,463,19300,1,3.1,,,,,,,,,,,
4,,02/04/2022 04:35:49,02/04/2022 04:37:49,18800,472,19300,1,3.1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
38,,Sample,02/04/2022 04:38:03,02/04/2022 05:06:10,27,False,True,False,240,25200,< 0.03,< 0.03,503,7,1.39,25700,0,0,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,02/04/2022 04:38:03,02/04/2022 05:00:10,25100,522,25600,1,4,,,,,,,,,,,
2,,02/04/2022 05:00:10,02/04/2022 05:02:10,25200,508,25700,1,4,,,,,,,,,,,
3,,02/04/2022 05:02:10,02/04/2022 05:04:10,25200,495,25700,1,4,,,,,,,,,,,
4,,02/04/2022 05:04:10,02/04/2022 05:06:10,25200,506,25700,1,4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
39,,Sample,02/04/2022 05:06:23,02/04/2022 05:34:32,28,False,True,False,240,25100,57.7,0.23,494,11.5,2.34,25600,57.7,0.23,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,02/04/2022 05:06:23,02/04/2022 05:28:32,25000,520,25500,1,4,,,,,,,,,,,
2,,02/04/2022 05:28:32,02/04/2022 05:30:33,25100,507,25600,1,4,,,,,,,,,,,
3,,02/04/2022 05:30:33,02/04/2022 05:32:32,25000,487,25500,1,4,,,,,,,,,,,
4,,02/04/2022 05:32:32,02/04/2022 05:34:32,25100,487,25600,1,4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
40,,Sample,02/04/2022 05:34:46,02/04/2022 06:02:55,29,False,True,False,240,19400,57.7,0.3,483,4.16,0.86,19900,57.7,0.29,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,02/04/2022 05:34:46,02/04/2022 05:56:55,19300,497,19800,1,3.1,,,,,,,,,,,
2,,02/04/2022 05:56:55,02/04/2022 05:58:55,19400,488,19900,1,3.1,,,,,,,,,,,
3,,02/04/2022 05:58:55,02/04/2022 06:00:55,19300,480,19800,1,3.1,,,,,,,,,,,
4,,02/04/2022 06:00:55,02/04/2022 06:02:55,19400,482,19900,1,3.1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Blank,,Blank,02/04/2022 06:03:11,02/04/2022 06:31:18,30,False,True,False,240,470,3.21,0.68,513,20.5,4,983,17.5,1.78,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,02/04/2022 06:03:11,02/04/2022 06:25:18,465,508,973,1,0,,,,,,,,,,,
2,,02/04/2022 06:25:18,02/04/2022 06:27:18,472,493,965,1,0,,,,,,,,,,,
3,,02/04/2022 06:27:18,02/04/2022 06:29:19,471,512,983,1,0,,,,,,,,,,,
4,,02/04/2022 06:29:19,02/04/2022 06:31:18,466,534,1000,1,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
42,,Sample,02/04/2022 06:31:32,02/04/2022 06:59:50,31,False,True,False,240,15100,57.7,0.38,605,4.58,0.76,15700,57.7,0.37,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,02/04/2022 06:31:32,02/04/2022 06:53:50,15100,632,15700,1,2.5,,,,,,,,,,,
2,,02/04/2022 06:53:50,02/04/2022 06:55:50,15100,610,15700,1,2.5,,,,,,,,,,,
3,,02/04/2022 06:55:50,02/04/2022 06:57:50,15100,604,15700,1,2.5,,,,,,,,,,,
4,,02/04/2022 06:57:50,02/04/2022 06:59:50,15200,601,15800,1,2.5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
43,,Sample,02/04/2022 07:00:03,02/04/2022 07:28:09,32,False,True,False,240,23400,< 0.03,< 0.03,632,2.52,0.4,24000,0,0,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,02/04/2022 07:00:03,02/04/2022 07:22:09,23400,654,24100,1,3.7,,,,,,,,,,,
2,,02/04/2022 07:22:09,02/04/2022 07:24:09,23400,632,24000,1,3.7,,,,,,,,,,,
3,,02/04/2022 07:24:09,02/04/2022 07:26:09,23400,630,24000,1,3.7,,,,,,,,,,,
4,,02/04/2022 07:26:09,02/04/2022 07:28:09,23400,635,24000,1,3.7,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
44,,Sample,02/04/2022 07:28:23,02/04/2022 07:56:31,33,False,True,False,240,26100,57.7,0.22,563,15.2,2.69,26600,57.7,0.22,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,02/04/2022 07:28:23,02/04/2022 07:50:31,26100,542,26600,1,4.1,,,,,,,,,,,
2,,02/04/2022 07:50:31,02/04/2022 07:52:31,26100,547,26600,1,4.1,,,,,,,,,,,
3,,02/04/2022 07:52:31,02/04/2022 07:54:31,26100,566,26700,1,4.1,,,,,,,,,,,
4,,02/04/2022 07:54:31,02/04/2022 07:56:31,26000,577,26600,1,4.1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
45,,Sample,02/04/2022 07:56:44,02/04/2022 08:24:53,34,False,True,False,240,28100,115,0.41,615,1.53,0.25,28700,115,0.4,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,02/04/2022 07:56:44,02/04/2022 08:18:53,28000,627,28600,1,4.5,,,,,,,,,,,
2,,02/04/2022 08:18:53,02/04/2022 08:20:53,28000,613,28600,1,4.5,,,,,,,,,,,
3,,02/04/2022 08:20:53,02/04/2022 08:22:53,28200,615,28800,1,4.5,,,,,,,,,,,
4,,02/04/2022 08:22:53,02/04/2022 08:24:53,28000,616,28600,1,4.5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
46,,Sample,02/04/2022 08:25:06,02/04/2022 08:53:16,35,False,True,False,240,22900,57.7,0.25,602,6.51,1.08,23500,57.7,0.25,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,02/04/2022 08:25:06,02/04/2022 08:47:15,22700,606,23300,1,3.6,,,,,,,,,,,
2,,02/04/2022 08:47:15,02/04/2022 08:49:16,22900,596,23500,1,3.6,,,,,,,,,,,
