Software Version:,1.06 Rev 101,,,,,,,,,,,,,,,,,,
Date:,01/25/2022 15:03:35,,,,,,,,,,,,,,,,,,
===============,,,,,,,,,,,,,,,,,,,
Analyzer,Protocol Name,Protocol Date,Protocol Date End,Protocol Type,Vial Size,Operator,Comments,Performed By Certified FSE,,,,,,,,,,,
18,E,Sample,01/23/2022 22:44:42,01/23/2022 23:12:52,18,False,True,False,240,16000,57.7,0.36,203,0,0,16200,57.7,0.36,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/23/2022 22:44:42,01/23/2022 23:06:52,15800,201,16000,1,2.9,,,,,,,,,,,
2,,01/23/2022 23:06:52,01/23/2022 23:08:52,16000,203,16200,1,2.9,,,,,,,,,,,
3,,01/23/2022 23:08:52,01/23/2022 23:10:52,15900,203,16100,1,2.9,,,,,,,,,,,
4,,01/23/2022 23:10:52,01/23/2022 23:12:52,16000,203,16200,1,2.9,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
19,E,Sample,01/23/2022 23:13:06,01/23/2022 23:41:14,19,False,True,False,240,20600,173,0.84,195,0.58,0.3,20800,173,0.83,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/23/2022 23:13:06,01/23/2022 23:35:14,20500,192,20700,1,3.6,,,,,,,,,,,
2,,01/23/2022 23:35:14,01/23/2022 23:37:14,20500,195,20700,1,3.6,,,,,,,,,,,
3,,01/23/2022 23:37:14,01/23/2022 23:39:14,20500,195,20700,1,3.6,,,,,,,,,,,
4,,01/23/2022 23:39:14,01/23/2022 23:41:14,20800,196,21000,1,3.6,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Blank,,Blank,01/23/2022 23:41:28,01/24/2022 00:09:35,20,False,True,False,240,157,3.21,2.05,90.7,3.32,3.66,247,6.35,2.57,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/23/2022 23:41:28,01/24/2022 00:03:35,145,85.6,231,0.3,0,,,,,,,,,,,
2,,01/24/2022 00:03:35,01/24/2022 00:05:35,158,93.4,251,0.3,0,,,,,,,,,,,
3,,01/24/2022 00:05:35,01/24/2022 00:07:35,159,91.7,251,0.3,0,,,,,,,,,,,
4,,01/24/2022 00:07:35,01/24/2022 00:09:35,153,87,240,0.3,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
21,E,Sample,01/24/2022 00:09:51,01/24/2022 00:38:09,21,False,True,False,240,21400,100,0.47,196,0.58,0.3,21600,100,0.46,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/24/2022 00:09:51,01/24/2022 00:32:09,21300,193,21500,1,3.7,,,,,,,,,,,
2,,01/24/2022 00:32:09,01/24/2022 00:34:08,21500,195,21700,1,3.7,,,,,,,,,,,
3,,01/24/2022 00:34:08,01/24/2022 00:36:09,21300,196,21500,1,3.7,,,,,,,,,,,
4,,01/24/2022 00:36:09,01/24/2022 00:38:09,21400,196,21600,1,3.7,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
22,E,Sample,01/24/2022 00:38:23,01/24/2022 01:06:31,22,False,True,False,240,25300,57.7,0.23,200,0,0,25500,57.7,0.23,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/24/2022 00:38:23,01/24/2022 01:00:31,25200,198,25400,1,4.4,,,,,,,,,,,
2,,01/24/2022 01:00:31,01/24/2022 01:02:31,25300,200,25500,1,4.4,,,,,,,,,,,
3,,01/24/2022 01:02:31,01/24/2022 01:04:31,25400,200,25600,1,4.4,,,,,,,,,,,
4,,01/24/2022 01:04:31,01/24/2022 01:06:31,25300,200,25500,1,4.4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
23,E,Sample,01/24/2022 01:06:45,01/24/2022 01:34:55,23,False,True,False,240,22500,57.7,0.26,200,1,0.5,22700,57.7,0.25,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/24/2022 01:06:45,01/24/2022 01:28:55,22200,196,22400,1,3.9,,,,,,,,,,,
2,,01/24/2022 01:28:55,01/24/2022 01:30:55,22500,199,22700,1,3.9,,,,,,,,,,,
3,,01/24/2022 01:30:55,01/24/2022 01:32:55,22600,201,22800,1,3.9,,,,,,,,,,,
4,,01/24/2022 01:32:55,01/24/2022 01:34:55,22500,200,22700,1,3.9,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
24,E,Sample,01/24/2022 01:35:08,01/24/2022 02:03:17,24,False,True,False,240,15400,< 0.03,< 0.03,209,0.58,0.28,15600,0,0,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/24/2022 01:35:08,01/24/2022 01:57:17,15300,207,15500,1,2.6,,,,,,,,,,,
2,,01/24/2022 01:57:17,01/24/2022 01:59:17,15400,209,15600,1,2.6,,,,,,,,,,,
3,,01/24/2022 01:59:17,01/24/2022 02:01:17,15400,209,15600,1,2.6,,,,,,,,,,,
4,,01/24/2022 02:01:17,01/24/2022 02:03:17,15400,210,15600,1,2.6,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
25,E,Sample,01/24/2022 02:03:30,01/24/2022 02:31:37,25,False,True,False,240,16800,57.7,0.34,211,0.58,0.27,17000,57.7,0.34,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/24/2022 02:03:30,01/24/2022 02:25:37,16600,208,16800,1,2.9,,,,,,,,,,,
2,,01/24/2022 02:25:37,01/24/2022 02:27:38,16800,211,17000,1,2.9,,,,,,,,,,,
3,,01/24/2022 02:27:38,01/24/2022 02:29:37,16800,211,17000,1,2.9,,,,,,,,,,,
4,,01/24/2022 02:29:37,01/24/2022 02:31:37,16700,212,16900,1,2.9,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
26,E,Sample,01/24/2022 02:31:51,01/24/2022 02:59:58,26,False,True,False,240,21000,< 0.03,< 0.03,196,0.58,0.29,21200,0,0,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/24/2022 02:31:51,01/24/2022 02:53:58,20900,193,21100,1,3.6,,,,,,,,,,,
2,,01/24/2022 02:53:58,01/24/2022 02:55:58,21000,196,21200,1,3.6,,,,,,,,,,,
3,,01/24/2022 02:55:58,01/24/2022 02:57:58,21000,196,21200,1,3.6,,,,,,,,,,,
4,,01/24/2022 02:57:58,01/24/2022 02:59:58,21000,197,21200,1,3.6,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
27,E,Sample,01/24/2022 03:00:11,01/24/2022 03:28:19,27,False,True,False,240,25500,100,0.39,195,0.58,0.3,25700,100,0.39,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/24/2022 03:00:11,01/24/2022 03:22:19,25200,191,25400,1,4.5,,,,,,,,,,,
2,,01/24/2022 03:22:19,01/24/2022 03:24:19,25400,194,25600,1,4.5,,,,,,,,,,,
3,,01/24/2022 03:24:19,01/24/2022 03:26:20,25500,195,25700,1,4.5,,,,,,,,,,,
4,,01/24/2022 03:26:20,01/24/2022 03:28:19,25600,195,25800,1,4.5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
28,E,Sample,01/24/2022 03:28:33,01/24/2022 03:56:42,28,False,True,False,240,26200,153,0.58,204,1,0.49,26400,153,0.58,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/24/2022 03:28:33,01/24/2022 03:50:42,26200,201,26400,1,4.7,,,,,,,,,,,
2,,01/24/2022 03:50:42,01/24/2022 03:52:42,26200,204,26400,1,4.7,,,,,,,,,,,
3,,01/24/2022 03:52:42,01/24/2022 03:54:42,26100,203,26300,1,4.7,,,,,,,,,,,
4,,01/24/2022 03:54:42,01/24/2022 03:56:42,26400,205,26600,1,4.7,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
29,E,Sample,01/24/2022 03:56:56,01/24/2022 04:25:06,29,False,True,False,240,18700,100,0.53,194,1,0.52,18900,100,0.53,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/24/2022 03:56:56,01/24/2022 04:19:06,18600,191,18800,1,3.2,,,,,,,,,,,
2,,01/24/2022 04:19:06,01/24/2022 04:21:05,18600,193,18800,1,3.2,,,,,,,,,,,
3,,01/24/2022 04:21:05,01/24/2022 04:23:05,18700,194,18900,1,3.2,,,,,,,,,,,
4,,01/24/2022 04:23:05,01/24/2022 04:25:06,18800,195,19000,1,3.2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
30,E,Sample,01/24/2022 04:25:20,01/24/2022 04:53:27,30,False,True,False,240,24500,100,0.41,194,1,0.52,24700,100,0.4,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/24/2022 04:25:20,01/24/2022 04:47:27,24600,192,24800,1,4.4,,,,,,,,,,,
2,,01/24/2022 04:47:27,01/24/2022 04:49:27,24500,193,24700,1,4.4,,,,,,,,,,,
3,,01/24/2022 04:49:27,01/24/2022 04:51:27,24400,194,24600,1,4.4,,,,,,,,,,,
4,,01/24/2022 04:51:27,01/24/2022 04:53:27,24600,195,24800,1,4.4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
31,E,Sample,01/24/2022 04:53:43,01/24/2022 05:21:55,31,False,True,False,240,17200,57.7,0.34,196,0.58,0.29,17400,57.7,0.33,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/24/2022 04:53:43,01/24/2022 05:15:55,17100,193,17300,1,2.9,,,,,,,,,,,
2,,01/24/2022 05:15:55,01/24/2022 05:17:56,17100,196,17300,1,2.9,,,,,,,,,,,
3,,01/24/2022 05:17:56,01/24/2022 05:19:55,17200,196,17400,1,2.9,,,,,,,,,,,
4,,01/24/2022 05:19:55,01/24/2022 05:21:55,17200,197,17400,1,2.9,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
32,E,Sample,01/24/2022 05:22:10,01/24/2022 05:50:17,32,False,True,False,240,22000,57.7,0.26,197,0,0,22200,57.7,0.26,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/24/2022 05:22:10,01/24/2022 05:44:17,22000,194,22200,1,3.8,,,,,,,,,,,
2,,01/24/2022 05:44:17,01/24/2022 05:46:17,22000,197,22200,1,3.8,,,,,,,,,,,
3,,01/24/2022 05:46:17,01/24/2022 05:48:17,21900,197,22100,1,3.8,,,,,,,,,,,
4,,01/24/2022 05:48:17,01/24/2022 05:50:17,22000,197,22200,1,3.8,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Blank,,Blank,01/24/2022 05:50:31,01/24/2022 06:18:40,33,False,True,False,240,78.3,2.66,3.4,83.1,5.82,7.01,161,8.33,5.16,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/24/2022 05:50:31,01/24/2022 06:12:39,69.1,77.9,147,0.3,0,,,,,,,,,,,
2,,01/24/2022 06:12:39,01/24/2022 06:14:39,79.7,88.3,168,0.3,0,,,,,,,,,,,
3,,01/24/2022 06:14:39,01/24/2022 06:16:39,79.9,84.1,164,0.3,0,,,,,,,,,,,
4,,01/24/2022 06:16:39,01/24/2022 06:18:40,75.2,76.8,152,0.3,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
34,E,Sample,01/24/2022 06:18:53,01/24/2022 06:47:11,34,False,True,False,240,21600,200,0.93,196,0,0,21800,200,0.92,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/24/2022 06:18:53,01/24/2022 06:41:11,21700,193,21900,1,3.7,,,,,,,,,,,
2,,01/24/2022 06:41:11,01/24/2022 06:43:11,21800,196,22000,1,3.7,,,,,,,,,,,
3,,01/24/2022 06:43:11,01/24/2022 06:45:11,21400,196,21600,1,3.7,,,,,,,,,,,
4,,01/24/2022 06:45:11,01/24/2022 06:47:11,21600,196,21800,1,3.7,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
35,E,Sample,01/24/2022 06:47:24,01/24/2022 07:15:32,35,False,True,False,240,16300,57.7,0.35,197,0.58,0.29,16500,57.7,0.35,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/24/2022 06:47:24,01/24/2022 07:09:32,16300,194,16500,1,2.8,,,,,,,,,,,
