Software Version:,1.06 Rev 101,,,,,,,,,,,,,,,,,,
Date:,12/09/2021 09:02:38,,,,,,,,,,,,,,,,,,
===============,,,,,,,,,,,,,,,,,,,
Analyzer,Protocol Name,Protocol Date,Protocol Date End,Protocol Type,Vial Size,Operator,Comments,Performed By Certified FSE,,,,,,,,,,,
E20E146,,Sample,12/08/2021 17:13:34,12/08/2021 17:45:50,4,False,True,True,240,17800,57.7,0.32,184,1,0.54,18000,57.7,0.32,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,12/08/2021 17:13:34,12/08/2021 17:39:50,17800,182,18000,2,3,,,,,,,,,,,
2,,12/08/2021 17:39:50,12/08/2021 17:41:50,17800,183,18000,2,3,,,,,,,,,,,
3,,12/08/2021 17:41:50,12/08/2021 17:43:50,17800,185,18000,2,3,,,,,,,,,,,
4,,12/08/2021 17:43:50,12/08/2021 17:45:50,17700,184,17900,2,3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
E20E148,,Sample,12/08/2021 17:46:04,12/08/2021 18:18:14,5,False,True,True,240,6300,26.5,0.42,216,2.65,1.22,6520,25.2,0.39,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,12/08/2021 17:46:04,12/08/2021 18:12:14,6260,209,6470,2,1.2,,,,,,,,,,,
2,,12/08/2021 18:12:14,12/08/2021 18:14:14,6310,213,6520,2,1.2,,,,,,,,,,,
3,,12/08/2021 18:14:14,12/08/2021 18:16:14,6320,217,6540,2,1.2,,,,,,,,,,,
4,,12/08/2021 18:16:14,12/08/2021 18:18:14,6270,218,6490,2,1.2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
E20E150,,Sample,12/08/2021 18:18:27,12/08/2021 18:50:35,6,False,True,True,240,6530,15.3,0.23,226,1.53,0.68,6750,15.3,0.23,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,12/08/2021 18:18:27,12/08/2021 18:44:36,6510,221,6730,2,1.3,,,,,,,,,,,
2,,12/08/2021 18:44:36,12/08/2021 18:46:35,6530,224,6750,2,1.3,,,,,,,,,,,
3,,12/08/2021 18:46:35,12/08/2021 18:48:36,6540,227,6770,2,1.3,,,,,,,,,,,
4,,12/08/2021 18:48:36,12/08/2021 18:50:35,6510,226,6740,2,1.3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
E20F146,,Sample,12/08/2021 18:50:49,12/08/2021 19:22:57,7,False,True,True,240,6710,23.1,0.34,226,1.15,0.51,6940,23.1,0.33,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,12/08/2021 18:50:49,12/08/2021 19:16:57,6690,224,6910,2,1.3,,,,,,,,,,,
2,,12/08/2021 19:16:57,12/08/2021 19:18:57,6700,225,6930,2,1.3,,,,,,,,,,,
3,,12/08/2021 19:18:57,12/08/2021 19:20:57,6740,227,6970,2,1.3,,,,,,,,,,,
4,,12/08/2021 19:20:57,12/08/2021 19:22:57,6700,227,6930,2,1.3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
E20F143,,Sample,12/08/2021 19:23:10,12/08/2021 19:55:18,8,False,True,True,240,6110,15.3,0.25,228,1,0.44,6340,15.3,0.24,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,12/08/2021 19:23:10,12/08/2021 19:49:19,6060,227,6290,2,1.2,,,,,,,,,,,
2,,12/08/2021 19:49:19,12/08/2021 19:51:18,6100,228,6330,2,1.2,,,,,,,,,,,
3,,12/08/2021 19:51:18,12/08/2021 19:53:19,6130,229,6360,2,1.2,,,,,,,,,,,
4,,12/08/2021 19:53:19,12/08/2021 19:55:18,6110,227,6340,2,1.2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
E20F148,,Sample,12/08/2021 19:55:32,12/08/2021 20:27:40,9,False,True,True,240,5330,15.3,0.29,198,1,0.51,5530,15.3,0.28,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,12/08/2021 19:55:32,12/08/2021 20:21:40,5300,197,5500,2,1,,,,,,,,,,,
2,,12/08/2021 20:21:40,12/08/2021 20:23:40,5350,199,5550,2,1,,,,,,,,,,,
3,,12/08/2021 20:23:40,12/08/2021 20:25:40,5330,198,5530,2,1,,,,,,,,,,,
4,,12/08/2021 20:25:40,12/08/2021 20:27:40,5320,197,5520,2,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
E20F150,,Sample,12/08/2021 20:27:54,12/08/2021 21:00:03,10,False,True,True,240,5730,25.2,0.44,188,0.58,0.31,5920,25.2,0.43,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,12/08/2021 20:27:54,12/08/2021 20:54:03,5700,186,5890,2,1.1,,,,,,,,,,,
2,,12/08/2021 20:54:03,12/08/2021 20:56:02,5730,188,5920,2,1.1,,,,,,,,,,,
3,,12/08/2021 20:56:02,12/08/2021 20:58:02,5750,189,5940,2,1.1,,,,,,,,,,,
4,,12/08/2021 20:58:02,12/08/2021 21:00:03,5700,188,5890,2,1.1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
E20D143,,Sample,12/08/2021 21:00:18,12/08/2021 21:32:26,11,False,True,True,240,6120,20.8,0.34,191,0.58,0.3,6310,20.8,0.33,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,12/08/2021 21:00:18,12/08/2021 21:26:26,6040,189,6230,2,1.2,,,,,,,,,,,
2,,12/08/2021 21:26:26,12/08/2021 21:28:26,6100,191,6290,2,1.2,,,,,,,,,,,
3,,12/08/2021 21:28:26,12/08/2021 21:30:26,6140,192,6330,2,1.2,,,,,,,,,,,
4,,12/08/2021 21:30:26,12/08/2021 21:32:26,6110,191,6300,2,1.2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
E20D146,,Sample,12/08/2021 21:32:40,12/08/2021 22:04:48,12,False,True,True,240,7010,15.3,0.22,186,0.58,0.31,7200,15.3,0.21,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,12/08/2021 21:32:40,12/08/2021 21:58:48,6990,183,7170,2,1.4,,,,,,,,,,,
2,,12/08/2021 21:58:48,12/08/2021 22:00:48,7000,185,7190,2,1.4,,,,,,,,,,,
3,,12/08/2021 22:00:48,12/08/2021 22:02:48,7010,186,7200,2,1.4,,,,,,,,,,,
4,,12/08/2021 22:02:48,12/08/2021 22:04:48,7030,186,7220,2,1.4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
E20D148,,Sample,12/08/2021 22:05:01,12/08/2021 22:37:10,13,False,True,True,240,6230,17.3,0.28,183,0.58,0.32,6410,17.3,0.27,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,12/08/2021 22:05:01,12/08/2021 22:31:10,6200,181,6380,2,1.2,,,,,,,,,,,
2,,12/08/2021 22:31:10,12/08/2021 22:33:10,6210,182,6390,2,1.2,,,,,,,,,,,
3,,12/08/2021 22:33:10,12/08/2021 22:35:10,6240,183,6420,2,1.2,,,,,,,,,,,
4,,12/08/2021 22:35:10,12/08/2021 22:37:10,6240,183,6420,2,1.2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
E20D150,,Sample,12/08/2021 22:37:24,12/08/2021 23:09:33,14,False,True,True,240,7260,20.8,0.29,185,0.58,0.31,7440,20.8,0.28,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,12/08/2021 22:37:24,12/08/2021 23:03:33,7250,182,7430,2,1.4,,,,,,,,,,,
2,,12/08/2021 23:03:33,12/08/2021 23:05:33,7270,184,7450,2,1.4,,,,,,,,,,,
3,,12/08/2021 23:05:33,12/08/2021 23:07:33,7280,185,7460,2,1.4,,,,,,,,,,,
4,,12/08/2021 23:07:33,12/08/2021 23:09:33,7240,185,7420,2,1.4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
blk,,Sample,12/08/2021 23:09:46,12/08/2021 23:41:54,15,False,True,True,240,108,2.52,2.34,181,0.58,0.32,289,2.65,0.92,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,12/08/2021 23:09:46,12/08/2021 23:35:54,103,179,282,2,0,,,,,,,,,,,
2,,12/08/2021 23:35:54,12/08/2021 23:37:54,110,181,291,2,0,,,,,,,,,,,
3,,12/08/2021 23:37:54,12/08/2021 23:39:54,108,182,290,2,0,,,,,,,,,,,
4,,12/08/2021 23:39:54,12/08/2021 23:41:54,105,181,286,2,0,,,,,,,,,,,
