Software Version:,1.06 Rev 101,,,,,,,,,,,,,,,,,,
Date:,01/26/2022 16:27:10,,,,,,,,,,,,,,,,,,
===============,,,,,,,,,,,,,,,,,,,
Analyzer,Protocol Name,Protocol Date,Protocol Date End,Protocol Type,Vial Size,Operator,Comments,Performed By Certified FSE,,,,,,,,,,,
3,,01/26/2022 11:37:49,01/26/2022 11:39:49,23.9,63.5,87.4,0.3,0,,,,,,,,,,,
4,,01/26/2022 11:39:49,01/26/2022 11:41:49,22.1,57.9,80,0.3,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
3,C,Sample,01/26/2022 11:42:03,01/26/2022 12:10:21,3,False,True,False,240,5250,5.77,0.11,237,1,0.42,5490,5.77,0.11,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/26/2022 11:42:03,01/26/2022 12:04:21,5210,232,5440,1,1,,,,,,,,,,,
2,,01/26/2022 12:04:21,01/26/2022 12:06:22,5250,236,5490,1,1,,,,,,,,,,,
3,,01/26/2022 12:06:22,01/26/2022 12:08:21,5250,237,5490,1,1,,,,,,,,,,,
4,,01/26/2022 12:08:21,01/26/2022 12:10:21,5260,238,5500,1,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
4,C,Sample,01/26/2022 12:10:35,01/26/2022 12:38:40,4,False,True,False,240,19900,57.7,0.29,205,0.58,0.28,20100,57.7,0.29,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/26/2022 12:10:35,01/26/2022 12:32:40,19700,200,19900,1,3.3,,,,,,,,,,,
2,,01/26/2022 12:32:40,01/26/2022 12:34:40,19900,204,20100,1,3.3,,,,,,,,,,,
3,,01/26/2022 12:34:40,01/26/2022 12:36:40,19800,205,20000,1,3.3,,,,,,,,,,,
4,,01/26/2022 12:36:40,01/26/2022 12:38:40,19900,205,20100,1,3.3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
5,C,Sample,01/26/2022 12:38:53,01/26/2022 13:07:01,5,False,True,False,240,6400,5.77,0.09,2540,41.6,1.64,8940,36.1,0.4,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/26/2022 12:38:53,01/26/2022 13:01:02,6430,2490,8920,1,1.5,,,,,,,,,,,
2,,01/26/2022 13:01:02,01/26/2022 13:03:01,6410,2490,8900,1,1.5,,,,,,,,,,,
3,,01/26/2022 13:03:01,01/26/2022 13:05:01,6400,2550,8950,1,1.5,,,,,,,,,,,
4,,01/26/2022 13:05:01,01/26/2022 13:07:01,6400,2570,8970,1,1.5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
6,C,Sample,01/26/2022 13:07:15,01/26/2022 13:35:20,6,False,True,False,240,6410,15.3,0.24,527,5.69,1.08,6940,10,0.14,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/26/2022 13:07:15,01/26/2022 13:29:20,6380,515,6890,1,1.2,,,,,,,,,,,
2,,01/26/2022 13:29:20,01/26/2022 13:31:20,6430,521,6950,1,1.2,,,,,,,,,,,
3,,01/26/2022 13:31:20,01/26/2022 13:33:20,6400,529,6930,1,1.2,,,,,,,,,,,
4,,01/26/2022 13:33:20,01/26/2022 13:35:20,6410,532,6940,1,1.2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
7,C,Sample,01/26/2022 13:35:34,01/26/2022 14:03:38,7,False,True,False,240,6650,5.77,0.09,251,1.15,0.46,6900,5.77,0.08,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/26/2022 13:35:34,01/26/2022 13:57:38,6600,247,6850,1,1.3,,,,,,,,,,,
2,,01/26/2022 13:57:38,01/26/2022 13:59:38,6650,250,6900,1,1.3,,,,,,,,,,,
3,,01/26/2022 13:59:38,01/26/2022 14:01:38,6660,252,6910,1,1.3,,,,,,,,,,,
4,,01/26/2022 14:01:38,01/26/2022 14:03:38,6650,252,6900,1,1.3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
8,C,Sample,01/26/2022 14:03:52,01/26/2022 14:31:57,8,False,True,False,240,6510,45.1,0.69,2610,118,4.52,9120,116,1.27,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/26/2022 14:03:52,01/26/2022 14:25:57,6530,2660,9190,1,1.2,,,,,,,,,,,
2,,01/26/2022 14:25:57,01/26/2022 14:27:57,6550,2510,9060,1,1.2,,,,,,,,,,,
3,,01/26/2022 14:27:57,01/26/2022 14:29:57,6460,2580,9040,1,1.2,,,,,,,,,,,
4,,01/26/2022 14:29:57,01/26/2022 14:31:57,6510,2740,9250,1,1.2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
9,C,Sample,01/26/2022 14:32:10,01/26/2022 15:00:15,9,False,True,False,240,6480,5.77,0.09,650,2.31,0.36,7130,5.77,0.08,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/26/2022 14:32:10,01/26/2022 14:54:15,6440,668,7110,1,1.2,,,,,,,,,,,
2,,01/26/2022 14:54:15,01/26/2022 14:56:15,6480,653,7130,1,1.2,,,,,,,,,,,
3,,01/26/2022 14:56:15,01/26/2022 14:58:15,6480,649,7130,1,1.2,,,,,,,,,,,
4,,01/26/2022 14:58:15,01/26/2022 15:00:15,6490,649,7140,1,1.2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
10,C,Sample,01/26/2022 15:00:29,01/26/2022 15:28:35,10,False,True,False,240,6880,17.3,0.25,763,12.1,1.59,7640,32.1,0.42,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/26/2022 15:00:29,01/26/2022 15:22:34,6850,801,7650,1,1.3,,,,,,,,,,,
2,,01/26/2022 15:22:34,01/26/2022 15:24:35,6900,776,7680,1,1.3,,,,,,,,,,,
3,,01/26/2022 15:24:35,01/26/2022 15:26:34,6870,752,7620,1,1.3,,,,,,,,,,,
4,,01/26/2022 15:26:34,01/26/2022 15:28:35,6870,761,7630,1,1.3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
11,C,Sample,01/26/2022 15:28:51,01/26/2022 15:56:56,11,False,True,False,240,6640,< 0.03,< 0.03,270,2,0.74,6910,0,0,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/26/2022 15:28:51,01/26/2022 15:50:56,6580,266,6850,1,1.3,,,,,,,,,,,
2,,01/26/2022 15:50:56,01/26/2022 15:52:56,6640,268,6910,1,1.3,,,,,,,,,,,
3,,01/26/2022 15:52:56,01/26/2022 15:54:56,6640,270,6910,1,1.3,,,,,,,,,,,
4,,01/26/2022 15:54:56,01/26/2022 15:56:56,6640,272,6910,1,1.3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
12,C,Sample,01/26/2022 15:57:10,01/26/2022 16:25:16,12,False,True,False,240,6830,10,0.15,229,0.58,0.25,7060,10,0.14,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/26/2022 15:57:10,01/26/2022 16:19:15,6780,225,7000,1,1.3,,,,,,,,,,,
2,,01/26/2022 16:19:15,01/26/2022 16:21:16,6840,229,7070,1,1.3,,,,,,,,,,,
3,,01/26/2022 16:21:16,01/26/2022 16:23:15,6830,229,7060,1,1.3,,,,,,,,,,,
4,,01/26/2022 16:23:15,01/26/2022 16:25:16,6820,230,7050,1,1.3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
13,C,Sample,,,13,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
14,C,Sample,,,14,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Blank,,Blank,,,15,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
16,C,Sample,,,16,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
17,C,Sample,,,17,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
18,C,Sample,,,18,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
19,C,Sample,,,19,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
20,C,Sample,,,20,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
21,C,Sample,,,21,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
22,C,Sample,,,22,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
23,C,Sample,,,23,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
24,C,Sample,,,24,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
25,C,Sample,,,25,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
26,C,Sample,,,26,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
27,C,Sample,,,27,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Blank,,Blank,,,28,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
29,C,Sample,,,29,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
30,C,Sample,,,30,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
31,C,Sample,,,31,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
32,C,Sample,,,32,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
33,C,Sample,,,33,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
34,C,Sample,,,34,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
35,C,Sample,,,35,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
36,C,Sample,,,36,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
37,C,Sample,,,37,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
38,C,Sample,,,38,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
39,C,Sample,,,39,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
40,C,Sample,,,40,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Blank,,Blank,,,41,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
42,C,Sample,,,42,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
43,C,Sample,,,43,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
44,C,Sample,,,44,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
45,C,Sample,,,45,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
46,C,Sample,,,46,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
47,C,Sample,,,47,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
48,C,Sample,,,48,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
49,C,Sample,,,49,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
50,C,Sample,,,50,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
51,C,Sample,,,51,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
52,C,Sample,,,52,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Blank,,Blank,,,53,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
54,D,Sample,,,54,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
55,D,Sample,,,55,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
56,D,Sample,,,56,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
57,D,Sample,,,57,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
58,D,Sample,,,58,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
59,D,Sample,,,59,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
60,D,Sample,,,60,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
61,D,Sample,,,61,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
62,D,Sample,,,62,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
63,D,Sample,,,63,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
64,D,Sample,,,64,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
65,D,Sample,,,65,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Blank,,Blank,,,66,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
67,D,Sample,,,67,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
68,D,Sample,,,68,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
69,D,Sample,,,69,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
70,D,Sample,,,70,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
71,D,Sample,,,71,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
72,D,Sample,,,72,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
73,D,Sample,,,73,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
74,D,Sample,,,74,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
75,D,Sample,,,75,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
76,D,Sample,,,76,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
77,D,Sample,,,77,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
78,D,Sample,,,78,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Blank,,Blank,,,79,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
80,D,Sample,,,80,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
81,D,Sample,,,81,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
82,D,Sample,,,82,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
83,D,Sample,,,83,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
84,D,Sample,,,84,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
85,D,Sample,,,85,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
86,D,Sample,,,86,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
87,D,Sample,,,87,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
88,D,Sample,,,88,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
89,D,Sample,,,89,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
90,D,Sample,,,90,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
91,D,Sample,,,91,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Blank,,Blank,,,92,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
93,D,Sample,,,93,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
94,D,Sample,,,94,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
95,D,Sample,,,95,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
96,D,Sample,,,96,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
97,D,Sample,,,97,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
98,D,Sample,,,98,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
99,D,Sample,,,99,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Blank,,Blank,,,100,False,True,False,240,---,---,---,---,---,---,---,---,---,
No Results,,,,,,,,,,,,,,,,,,,
