Software Version:,1.06 Rev 101,,,,,,,,,,,,,,,,,,
Date:,01/23/2022 14:01:54,,,,,,,,,,,,,,,,,,
===============,,,,,,,,,,,,,,,,,,,
Analyzer,Protocol Name,Protocol Date,Protocol Date End,Protocol Type,Vial Size,Operator,Comments,Performed By Certified FSE,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
A148,E20,Sample,01/21/2022 16:44:32,01/21/2022 17:12:40,5,False,True,False,240,7160,5.77,0.08,256,1,0.39,7420,10,0.13,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/21/2022 16:44:32,01/21/2022 17:06:41,7120,251,7370,1,1.4,,,,,,,,,,,
2,,01/21/2022 17:06:41,01/21/2022 17:08:40,7160,255,7410,1,1.4,,,,,,,,,,,
3,,01/21/2022 17:08:40,01/21/2022 17:10:41,7160,256,7420,1,1.4,,,,,,,,,,,
4,,01/21/2022 17:10:41,01/21/2022 17:12:40,7170,257,7430,1,1.4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
A150,E20,Sample,01/21/2022 17:12:54,01/21/2022 17:40:59,6,False,True,False,240,7190,11.5,0.16,572,9.85,1.72,7760,20,0.26,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/21/2022 17:12:54,01/21/2022 17:34:59,7150,547,7700,1,1.4,,,,,,,,,,,
2,,01/21/2022 17:34:59,01/21/2022 17:36:59,7180,561,7740,1,1.4,,,,,,,,,,,
3,,01/21/2022 17:36:59,01/21/2022 17:38:59,7180,575,7760,1,1.4,,,,,,,,,,,
4,,01/21/2022 17:38:59,01/21/2022 17:40:59,7200,580,7780,1,1.4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
A153,E20,Sample,01/21/2022 17:41:12,01/21/2022 18:09:17,7,False,True,False,240,7500,20.8,0.28,225,0.58,0.26,7730,15.3,0.2,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/21/2022 17:41:12,01/21/2022 18:03:17,7460,222,7680,1,1.4,,,,,,,,,,,
2,,01/21/2022 18:03:17,01/21/2022 18:05:17,7510,224,7730,1,1.4,,,,,,,,,,,
3,,01/21/2022 18:05:17,01/21/2022 18:07:17,7520,225,7740,1,1.4,,,,,,,,,,,
4,,01/21/2022 18:07:17,01/21/2022 18:09:17,7480,225,7710,1,1.4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
A155,E20,Sample,01/21/2022 18:09:31,01/21/2022 18:37:37,8,False,True,False,240,16200,< 0.03,< 0.03,204,0.58,0.28,16400,0,0,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/21/2022 18:09:31,01/21/2022 18:31:37,16100,201,16300,1,2.8,,,,,,,,,,,
2,,01/21/2022 18:31:37,01/21/2022 18:33:37,16200,204,16400,1,2.8,,,,,,,,,,,
3,,01/21/2022 18:33:37,01/21/2022 18:35:36,16200,204,16400,1,2.8,,,,,,,,,,,
4,,01/21/2022 18:35:36,01/21/2022 18:37:37,16200,205,16400,1,2.8,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
A157,E20,Sample,01/21/2022 18:37:50,01/21/2022 19:05:57,9,False,True,False,240,8090,45.8,0.57,232,1,0.43,8320,45.8,0.55,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/21/2022 18:37:50,01/21/2022 18:59:57,8050,228,8280,1,1.6,,,,,,,,,,,
2,,01/21/2022 18:59:57,01/21/2022 19:01:57,8130,231,8360,1,1.6,,,,,,,,,,,
3,,01/21/2022 19:01:57,01/21/2022 19:03:57,8040,232,8270,1,1.6,,,,,,,,,,,
4,,01/21/2022 19:03:57,01/21/2022 19:05:57,8100,233,8330,1,1.6,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
A160,E20,Sample,01/21/2022 19:06:11,01/21/2022 19:34:16,10,False,True,False,240,8420,20.8,0.25,301,3.61,1.2,8720,17.3,0.2,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/21/2022 19:06:11,01/21/2022 19:28:16,8310,299,8610,1,1.6,,,,,,,,,,,
2,,01/21/2022 19:28:16,01/21/2022 19:30:17,8440,298,8740,1,1.6,,,,,,,,,,,
3,,01/21/2022 19:30:17,01/21/2022 19:32:16,8410,300,8710,1,1.6,,,,,,,,,,,
4,,01/21/2022 19:32:16,01/21/2022 19:34:16,8400,305,8710,1,1.6,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
A162,E20,Sample,01/21/2022 19:34:32,01/21/2022 20:02:38,11,False,True,False,240,8420,52.9,0.63,1260,40.4,3.2,9680,25.2,0.26,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/21/2022 19:34:32,01/21/2022 19:56:38,8360,1160,9520,1,1.6,,,,,,,,,,,
2,,01/21/2022 19:56:38,01/21/2022 19:58:38,8460,1220,9680,1,1.6,,,,,,,,,,,
3,,01/21/2022 19:58:38,01/21/2022 20:00:38,8440,1270,9710,1,1.6,,,,,,,,,,,
4,,01/21/2022 20:00:38,01/21/2022 20:02:38,8360,1300,9660,1,1.6,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
A164,E20,Sample,01/21/2022 20:02:52,01/21/2022 20:30:57,12,False,True,False,240,8710,5.77,0.07,237,0.58,0.24,8950,5.77,0.06,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/21/2022 20:02:52,01/21/2022 20:24:57,8640,236,8880,1,1.7,,,,,,,,,,,
2,,01/21/2022 20:24:57,01/21/2022 20:26:57,8710,237,8950,1,1.7,,,,,,,,,,,
3,,01/21/2022 20:26:57,01/21/2022 20:28:57,8710,237,8950,1,1.7,,,,,,,,,,,
4,,01/21/2022 20:28:57,01/21/2022 20:30:57,8700,238,8940,1,1.7,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
A167,E20,Sample,01/21/2022 20:31:11,01/21/2022 20:59:17,13,False,True,False,240,9240,5.77,0.06,227,1,0.44,9470,5.77,0.06,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/21/2022 20:31:11,01/21/2022 20:53:16,9210,224,9430,1,1.8,,,,,,,,,,,
2,,01/21/2022 20:53:16,01/21/2022 20:55:17,9240,226,9470,1,1.8,,,,,,,,,,,
3,,01/21/2022 20:55:17,01/21/2022 20:57:17,9240,227,9470,1,1.8,,,,,,,,,,,
4,,01/21/2022 20:57:17,01/21/2022 20:59:17,9250,228,9480,1,1.8,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
A169,E20,Sample,01/21/2022 20:59:30,01/21/2022 21:27:36,14,False,True,False,240,9260,15.3,0.16,230,1,0.43,9490,15.3,0.16,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/21/2022 20:59:30,01/21/2022 21:21:36,9200,225,9420,1,1.8,,,,,,,,,,,
2,,01/21/2022 21:21:36,01/21/2022 21:23:36,9250,229,9480,1,1.8,,,,,,,,,,,
3,,01/21/2022 21:23:36,01/21/2022 21:25:36,9260,230,9490,1,1.8,,,,,,,,,,,
4,,01/21/2022 21:25:36,01/21/2022 21:27:36,9280,231,9510,1,1.8,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Blank,blk,Blank,01/21/2022 21:27:49,01/21/2022 21:55:54,15,False,True,False,240,118,12.3,10.5,66,7.8,11.8,184,20.2,11,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/21/2022 21:27:49,01/21/2022 21:49:54,121,77.2,198,0.3,0,,,,,,,,,,,
2,,01/21/2022 21:49:54,01/21/2022 21:51:54,128,73.8,202,0.3,0,,,,,,,,,,,
3,,01/21/2022 21:51:54,01/21/2022 21:53:55,121,66,187,0.3,0,,,,,,,,,,,
4,,01/21/2022 21:53:55,01/21/2022 21:55:54,104,58.2,162,0.3,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
A171,E20,Sample,01/21/2022 21:56:08,01/21/2022 22:24:25,16,False,True,False,240,9900,< 0.03,< 0.03,299,0.58,0.19,10200,0,0,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/21/2022 21:56:08,01/21/2022 22:18:25,9900,301,10200,1,1.9,,,,,,,,,,,
2,,01/21/2022 22:18:25,01/21/2022 22:20:25,9900,298,10200,1,1.9,,,,,,,,,,,
3,,01/21/2022 22:20:25,01/21/2022 22:22:25,9900,299,10200,1,1.9,,,,,,,,,,,
4,,01/21/2022 22:22:25,01/21/2022 22:24:25,9900,299,10200,1,1.9,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
A174,E20,Sample,01/21/2022 22:24:38,01/21/2022 22:52:44,17,False,True,False,240,38600,379,0.98,206,0.58,0.28,38800,379,0.98,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/21/2022 22:24:38,01/21/2022 22:46:44,38000,203,38200,1,7.2,,,,,,,,,,,
2,,01/21/2022 22:46:44,01/21/2022 22:48:44,38300,205,38500,1,7.2,,,,,,,,,,,
3,,01/21/2022 22:48:44,01/21/2022 22:50:45,39000,206,39200,1,7.2,,,,,,,,,,,
4,,01/21/2022 22:50:45,01/21/2022 22:52:44,38400,206,38600,1,7.2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
A175,E20,Sample,01/21/2022 22:52:58,01/21/2022 23:21:11,18,False,True,False,240,16700,< 0.03,< 0.03,199,0.58,0.29,16900,0,0,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/21/2022 22:52:58,01/21/2022 23:15:11,16700,195,16900,1,2.9,,,,,,,,,,,
2,,01/21/2022 23:15:11,01/21/2022 23:17:11,16700,199,16900,1,2.9,,,,,,,,,,,
3,,01/21/2022 23:17:11,01/21/2022 23:19:11,16700,199,16900,1,2.9,,,,,,,,,,,
4,,01/21/2022 23:19:11,01/21/2022 23:21:11,16700,200,16900,1,2.9,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
A176,E20,Sample,01/21/2022 23:21:25,01/21/2022 23:49:33,19,False,True,False,240,27500,57.7,0.21,204,0.58,0.28,27700,57.7,0.21,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/21/2022 23:21:25,01/21/2022 23:43:32,27300,201,27500,1,4.9,,,,,,,,,,,
2,,01/21/2022 23:43:32,01/21/2022 23:45:33,27400,204,27600,1,4.9,,,,,,,,,,,
3,,01/21/2022 23:45:33,01/21/2022 23:47:32,27500,204,27700,1,4.9,,,,,,,,,,,
4,,01/21/2022 23:47:32,01/21/2022 23:49:33,27500,205,27700,1,4.9,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
A177,E20,Sample,01/21/2022 23:49:47,01/22/2022 00:17:57,20,False,True,False,240,16800,100,0.6,202,0.58,0.29,17000,100,0.59,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/21/2022 23:49:47,01/22/2022 00:11:57,16800,198,17000,1,2.9,,,,,,,,,,,
2,,01/22/2022 00:11:57,01/22/2022 00:13:57,16700,201,16900,1,2.9,,,,,,,,,,,
3,,01/22/2022 00:13:57,01/22/2022 00:15:57,16900,202,17100,1,2.9,,,,,,,,,,,
4,,01/22/2022 00:15:57,01/22/2022 00:17:57,16800,202,17000,1,2.9,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
A178,E20,Sample,01/22/2022 00:18:12,01/22/2022 00:46:19,21,False,True,False,240,17100,57.7,0.34,208,1.15,0.55,17300,57.7,0.33,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/22/2022 00:18:12,01/22/2022 00:40:19,17200,205,17400,1,2.9,,,,,,,,,,,
2,,01/22/2022 00:40:19,01/22/2022 00:42:19,17200,207,17400,1,2.9,,,,,,,,,,,
3,,01/22/2022 00:42:19,01/22/2022 00:44:19,17100,209,17300,1,2.9,,,,,,,,,,,
4,,01/22/2022 00:44:19,01/22/2022 00:46:19,17100,209,17300,1,2.9,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
A181,E20,Sample,01/22/2022 00:46:33,01/22/2022 01:14:41,22,False,True,False,240,18600,57.7,0.31,200,0,0,18800,57.7,0.31,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/22/2022 00:46:33,01/22/2022 01:08:41,18600,196,18800,1,3.2,,,,,,,,,,,
2,,01/22/2022 01:08:41,01/22/2022 01:10:41,18600,200,18800,1,3.2,,,,,,,,,,,
3,,01/22/2022 01:10:41,01/22/2022 01:12:41,18500,200,18700,1,3.2,,,,,,,,,,,
4,,01/22/2022 01:12:41,01/22/2022 01:14:41,18600,200,18800,1,3.2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
A183,E20,Sample,01/22/2022 01:14:55,01/22/2022 01:43:02,23,False,True,False,240,22200,57.7,0.26,202,0.58,0.29,22400,57.7,0.26,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/22/2022 01:14:55,01/22/2022 01:37:02,22200,199,22400,1,3.9,,,,,,,,,,,
2,,01/22/2022 01:37:02,01/22/2022 01:39:02,22200,202,22400,1,3.9,,,,,,,,,,,
3,,01/22/2022 01:39:02,01/22/2022 01:41:02,22200,202,22400,1,3.9,,,,,,,,,,,
4,,01/22/2022 01:41:02,01/22/2022 01:43:02,22300,203,22500,1,3.9,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
A185,E20,Sample,01/22/2022 01:43:16,01/22/2022 02:11:25,24,False,True,False,240,14900,< 0.03,< 0.03,199,1,0.5,15100,0,0,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/22/2022 01:43:16,01/22/2022 02:05:25,14900,196,15100,1,2.6,,,,,,,,,,,
2,,01/22/2022 02:05:25,01/22/2022 02:07:25,14900,198,15100,1,2.6,,,,,,,,,,,
3,,01/22/2022 02:07:25,01/22/2022 02:09:25,14900,199,15100,1,2.6,,,,,,,,,,,
4,,01/22/2022 02:09:25,01/22/2022 02:11:25,14900,200,15100,1,2.6,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
A188,E20,Sample,01/22/2022 02:11:38,01/22/2022 02:39:45,25,False,True,False,240,18100,< 0.03,< 0.03,205,0.58,0.28,18300,0,0,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/22/2022 02:11:38,01/22/2022 02:33:45,18200,202,18400,1,3.1,,,,,,,,,,,
2,,01/22/2022 02:33:45,01/22/2022 02:35:45,18100,204,18300,1,3.1,,,,,,,,,,,
3,,01/22/2022 02:35:45,01/22/2022 02:37:45,18100,205,18300,1,3.1,,,,,,,,,,,
4,,01/22/2022 02:37:45,01/22/2022 02:39:45,18100,205,18300,1,3.1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
A190,E20,Sample,01/22/2022 02:39:59,01/22/2022 03:08:06,26,False,True,False,240,22700,115,0.51,207,0.58,0.28,22900,115,0.5,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/22/2022 02:39:59,01/22/2022 03:02:05,22800,203,23000,1,3.9,,,,,,,,,,,
2,,01/22/2022 03:02:05,01/22/2022 03:04:06,22600,206,22800,1,3.9,,,,,,,,,,,
3,,01/22/2022 03:04:06,01/22/2022 03:06:06,22600,207,22800,1,3.9,,,,,,,,,,,
4,,01/22/2022 03:06:06,01/22/2022 03:08:06,22800,207,23000,1,3.9,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
A192,E20,Sample,01/22/2022 03:08:19,01/22/2022 03:36:28,27,False,True,False,240,22900,115,0.5,209,0.58,0.28,23100,115,0.5,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/22/2022 03:08:19,01/22/2022 03:30:28,22700,206,22900,1,4,,,,,,,,,,,
2,,01/22/2022 03:30:28,01/22/2022 03:32:28,22800,209,23000,1,4,,,,,,,,,,,
3,,01/22/2022 03:32:28,01/22/2022 03:34:28,23000,209,23200,1,4,,,,,,,,,,,
4,,01/22/2022 03:34:28,01/22/2022 03:36:28,22800,210,23000,1,4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Blank,blk,Blank,01/22/2022 03:36:42,01/22/2022 04:04:51,28,False,True,False,240,148,3.51,2.37,73.2,6.91,9.44,222,10.5,4.74,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/22/2022 03:36:42,01/22/2022 03:58:50,140,71.9,212,0.3,0,,,,,,,,,,,
2,,01/22/2022 03:58:50,01/22/2022 04:00:51,152,79.9,232,0.3,0,,,,,,,,,,,
3,,01/22/2022 04:00:51,01/22/2022 04:02:50,148,73.6,222,0.3,0,,,,,,,,,,,
4,,01/22/2022 04:02:50,01/22/2022 04:04:51,145,66.1,211,0.3,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
A195,E20,Sample,01/22/2022 04:05:04,01/22/2022 04:33:22,29,False,True,False,240,23100,231,1,203,0.58,0.28,23300,231,0.99,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/22/2022 04:05:04,01/22/2022 04:27:22,22700,199,22900,1,4,,,,,,,,,,,
2,,01/22/2022 04:27:22,01/22/2022 04:29:22,23400,203,23600,1,4,,,,,,,,,,,
3,,01/22/2022 04:29:22,01/22/2022 04:31:22,23000,203,23200,1,4,,,,,,,,,,,
4,,01/22/2022 04:31:22,01/22/2022 04:33:22,23000,204,23200,1,4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
A197,E20,Sample,01/22/2022 04:33:36,01/22/2022 05:01:46,30,False,True,False,240,18800,100,0.53,202,1,0.5,19000,100,0.53,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/22/2022 04:33:36,01/22/2022 04:55:46,18700,199,18900,1,3.2,,,,,,,,,,,
2,,01/22/2022 04:55:46,01/22/2022 04:57:46,18700,201,18900,1,3.2,,,,,,,,,,,
3,,01/22/2022 04:57:46,01/22/2022 04:59:46,18800,202,19000,1,3.2,,,,,,,,,,,
4,,01/22/2022 04:59:46,01/22/2022 05:01:46,18900,203,19100,1,3.2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
A199,E20,Sample,01/22/2022 05:02:02,01/22/2022 05:30:09,31,False,True,False,240,15700,< 0.03,< 0.03,198,0.58,0.29,15900,0,0,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/22/2022 05:02:02,01/22/2022 05:24:09,15700,195,15900,1,2.7,,,,,,,,,,,
2,,01/22/2022 05:24:09,01/22/2022 05:26:09,15700,197,15900,1,2.7,,,,,,,,,,,
3,,01/22/2022 05:26:09,01/22/2022 05:28:09,15700,198,15900,1,2.7,,,,,,,,,,,
4,,01/22/2022 05:28:09,01/22/2022 05:30:09,15700,198,15900,1,2.7,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
A202,E20,Sample,01/22/2022 05:30:23,01/22/2022 05:58:30,32,False,True,False,240,27800,208,0.75,204,0,0,28000,208,0.74,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/22/2022 05:30:23,01/22/2022 05:52:30,27600,202,27800,1,5,,,,,,,,,,,
2,,01/22/2022 05:52:30,01/22/2022 05:54:30,27600,204,27800,1,5,,,,,,,,,,,
3,,01/22/2022 05:54:30,01/22/2022 05:56:31,28000,204,28200,1,5,,,,,,,,,,,
4,,01/22/2022 05:56:31,01/22/2022 05:58:30,27700,204,27900,1,5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
A204,E20,Sample,01/22/2022 05:58:44,01/22/2022 06:26:54,33,False,True,False,240,21700,57.7,0.27,201,0.58,0.29,21900,57.7,0.26,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/22/2022 05:58:44,01/22/2022 06:20:54,21600,198,21800,1,3.8,,,,,,,,,,,
2,,01/22/2022 06:20:54,01/22/2022 06:22:54,21700,201,21900,1,3.8,,,,,,,,,,,
3,,01/22/2022 06:22:54,01/22/2022 06:24:54,21700,200,21900,1,3.8,,,,,,,,,,,
4,,01/22/2022 06:24:54,01/22/2022 06:26:54,21600,201,21800,1,3.8,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
A206,E20,Sample,01/22/2022 06:27:08,01/22/2022 06:55:17,34,False,True,False,240,20000,100,0.5,200,1.15,0.58,20200,100,0.5,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/22/2022 06:27:08,01/22/2022 06:49:17,20200,198,20400,1,3.4,,,,,,,,,,,
2,,01/22/2022 06:49:17,01/22/2022 06:51:16,20000,199,20200,1,3.4,,,,,,,,,,,
3,,01/22/2022 06:51:16,01/22/2022 06:53:17,20100,201,20300,1,3.4,,,,,,,,,,,
4,,01/22/2022 06:53:17,01/22/2022 06:55:17,19900,201,20100,1,3.4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
A209,E20,Sample,01/22/2022 06:55:30,01/22/2022 07:23:38,35,False,True,False,240,31700,404,1.28,208,1,0.48,31900,404,1.27,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
